date_observed,search_term,store,product_title,product_url,package_size_text,package_size,package_unit,displayed_price,unit_price_text,listed_unit_price,listed_unit,is_variable_weight,sale_status,sale_price,regular_price,category,product_family,comparison_group,product_form,attributes,standardized_unit,price_per_standard_unit,normalization_error
2026-09-18,pasta,Walmart Canada,Great Value Penne Rigate Pasta,https://www.walmart.ca/en/ip/Great-Value-Penne-Rigate-Pasta/435XOWBKYV86,,,,1.97,,,,False,,,,pantry,pasta,dry_pasta,dry,,,,No supported package or listed unit was available.
2026-09-18,pasta,Walmart Canada,Barilla Rotini Pasta,https://www.walmart.ca/en/ip/Barilla-Rotini-Pasta/6000203462912,,,,2.44,60¢/100g,0.6,100g,False,,,,pantry,pasta,dry_pasta,dry,,100g,0.6,
2026-09-18,pasta,Walmart Canada,Great Value Macaroni Pasta,https://www.walmart.ca/en/ip/Great-Value-Macaroni-Pasta/2V1OHHHOK93T,,,,1.97,22¢/100g,0.22,100g,False,,,,pantry,pasta,dry_pasta,dry,,100g,0.22,
2026-09-18,pasta,Walmart Canada,Fiorfiore bronze dyed 12.5% proteins Lumaconi Pasta,https://www.walmart.ca/en/ip/Fiorfiore-bronze-dyed-12-5-proteins-Lumaconi-Pasta/6000200626641,,,,1.97,39¢/100g,0.39,100g,False,,,,pantry,pasta,dry_pasta,dry,,100g,0.39,
2026-09-18,pasta,Walmart Canada,Great Value Rigatoni Pasta,https://www.walmart.ca/en/ip/Great-Value-Rigatoni-Pasta/26ATIIIY0XYD,,,,1.97,22¢/100g,0.22,100g,False,,,,pantry,pasta,dry_pasta,dry,,100g,0.22,
2026-09-18,pasta,Walmart Canada,Barilla Penne Rigate Pasta,https://www.walmart.ca/en/ip/Barilla-Penne-Rigate-Pasta/6000203462933,,,,2.44,60¢/100g,0.6,100g,False,,,,pantry,pasta,dry_pasta,dry,,100g,0.6,
2026-09-18,pasta,Walmart Canada,Fiorfiore Pasta Rotini 500G,https://www.walmart.ca/en/ip/Fiorfiore-Pasta-Rotini-500G/0ZYAS28G7WYS,500G,500.0,g,1.97,39¢/100g,0.39,100g,False,,,,pantry,pasta,dry_pasta,dry,,100g,0.394,
2026-09-18,pasta,Walmart Canada,Fiorfiore bronze dyed 12.5% proteins Farfalle Pasta,https://www.walmart.ca/en/ip/Fiorfiore-bronze-dyed-12-5-proteins-Farfalle-Pasta/6000200626392,,,,1.97,39¢/100g,0.39,100g,False,,,,pantry,pasta,dry_pasta,dry,,100g,0.39,
2026-09-18,bread,Walmart Canada,ACE Bakery® Classic White Bistro Loaf,https://www.walmart.ca/en/ip/ace-bakery-classic-white-bistro-loaf/2OQJOHWYRQKD,,,,4.87,82¢/100g,0.82,100g,False,,,,bakery,bread,sliced_bread,sliced_loaf,,100g,0.82,
2026-09-18,bread,Walmart Canada,"Wonder Ball Park Classic Hamburger Buns, No Artificial Flavours or Colours, 8 Count, 560 g",https://www.walmart.ca/en/ip/wonder-ball-park-classic-hamburger-buns-no-artificial-flavours-or-colours-8-count-560-g/6000196993538,560 g,560.0,g,3.87,,,,False,,,,unknown,unknown,unsupported,unknown,,100g,0.6910714285714286,
2026-09-18,bread,Walmart Canada,Stonemill® Bakehouse  Sourdough Bread,https://www.walmart.ca/en/ip/stonemill-bakehouse-sourdough-bread/6000208313757,,,,4.97,90¢/100g,0.9,100g,False,,,,bakery,bread,sliced_bread,sliced_loaf,,100g,0.9,
2026-09-18,bread,Walmart Canada,Stonemill® Authentic Sourdough Rye Multigrain Sliced Bread,https://www.walmart.ca/en/ip/stonemill-authentic-sourdough-rye-multigrain-sliced-bread/6000197288819,,,,5.48,$1.00/100g,1.0,100g,False,,,,bakery,bread,sliced_bread,sliced_loaf,,100g,1.0,
2026-09-18,bread,Walmart Canada,"Great Value White Bread, Source of 12 Essential Nutrients, 675 g",https://www.walmart.ca/en/ip/great-value-white-bread-source-of-12-essential-nutrients-675-g/6000206630542,675 g,675.0,g,2.48,37¢/100g,0.37,100g,False,,,,bakery,bread,sliced_bread,sliced_loaf,,100g,0.3674074074074074,
2026-09-18,bread,Walmart Canada,"Great Value Whole Wheat Bread, Source of 10 Essential Nutrients, 675 g",https://www.walmart.ca/en/ip/great-value-whole-wheat-bread-source-of-10-essential-nutrients-675-g/6000206630673,675 g,675.0,g,2.48,37¢/100g,0.37,100g,False,,,,bakery,bread,sliced_bread,sliced_loaf,whole_wheat,100g,0.3674074074074074,
2026-09-18,bread,Walmart Canada,Dempster’s® White Sliced Bread,https://www.walmart.ca/en/ip/dempsters-white-sliced-bread/6000191268725,,,,2.68,40¢/100g,0.4,100g,False,Rollback,2.68,2.98,bakery,bread,sliced_bread,sliced_loaf,,100g,0.4,
2026-09-18,bread,Walmart Canada,"Stonemill® Honest Wellness Sprouted Rye & 12 Grains Sliced Bread, 454 g",https://www.walmart.ca/en/ip/stonemill-honest-wellness-sprouted-rye-12-grains-sliced-bread-454-g/6000197290251,454 g,454.0,g,5.48,$1.21/100g,1.21,100g,False,,,,bakery,bread,sliced_bread,sliced_loaf,,100g,1.2070484581497798,
2026-09-18,bread,Walmart Canada,Dempster’s® 100% Whole Wheat Sliced Bread,https://www.walmart.ca/en/ip/dempsters-100-whole-wheat-sliced-bread/6000191268657,,,,2.68,40¢/100g,0.4,100g,False,Rollback,2.68,2.98,bakery,bread,sliced_bread,sliced_loaf,whole_wheat,100g,0.4,
2026-09-18,bread,Walmart Canada,"Dempster’s® 100% Whole Grains 12 Grain Sliced Bread, 600 g",https://www.walmart.ca/en/ip/dempsters-100-whole-grains-12-grain-sliced-bread-600-g/6000191284609,600 g,600.0,g,2.88,48¢/100g,0.48,100g,False,Rollback,2.88,3.68,bakery,bread,sliced_bread,sliced_loaf,whole_wheat,100g,0.48,
2026-09-18,cheese,Walmart Canada,Daiya Dairy Free Cheddar Cheese Shreds,https://www.walmart.ca/en/ip/daiya-dairy-free-cheddar-cheese-shreds/6000202560794,,,,4.88,$2.44/100g,2.44,100g,False,,,,dairy,cheese,cheddar_cheese,shredded,dairy_free,100g,2.44,
2026-09-18,cheese,Walmart Canada,Daiya Dairy Free Mozzarella Cheese Shreds,https://www.walmart.ca/en/ip/daiya-dairy-free-mozzarella-cheese-shreds/6000202561304,,,,4.88,$2.44/100g,2.44,100g,False,,,,dairy,cheese,mozzarella_cheese,shredded,dairy_free,100g,2.44,
2026-09-18,cheese,Walmart Canada,Daiya Dairy Free Cheddar Cheese Slices,https://www.walmart.ca/en/ip/daiya-dairy-free-cheddar-cheese-slices/6000203812748,,,,4.88,$2.44/100g,2.44,100g,False,,,,dairy,cheese,cheddar_cheese,sliced,dairy_free,100g,2.44,
2026-09-18,cheese,Walmart Canada,Daiya Dairy Free Mexican Blend Cheese Shreds,https://www.walmart.ca/en/ip/daiya-dairy-free-mexican-blend-cheese-shreds/6000203811296,,,,4.88,$2.44/100g,2.44,100g,False,,,,dairy,cheese,cheese_unspecified_type,shredded,dairy_free,100g,2.44,
2026-09-18,cheese,Walmart Canada,"Black Diamond Marble Cheddar Cheese Bar, 400g",https://www.walmart.ca/en/ip/black-diamond-marble-cheddar-cheese-bar-400g/6000201233924,400g,400.0,g,5.98,$1.50/100g,1.5,100g,False,,,,dairy,cheese,cheddar_cheese,block,,100g,1.495,
2026-09-18,cheese,Walmart Canada,Great Value Marble Cheddar Cheese,https://www.walmart.ca/en/ip/great-value-marble-cheddar-cheese/6000208884276,,,,5.48,$1.37/100g,1.37,100g,False,,,,dairy,cheese,cheddar_cheese,unspecified,,100g,1.37,
2026-09-18,cheese,Walmart Canada,Armstrong Marble Cheddar Cheese,https://www.walmart.ca/en/ip/armstrong-marble-cheddar-cheese/6000202303820,,,,4.98,$1.25/100g,1.25,100g,False,Rollback,4.98,7.96,dairy,cheese,cheddar_cheese,unspecified,,100g,1.25,
2026-09-18,cheese,Walmart Canada,Great Value Double Cheddar Shredded Cheese,https://www.walmart.ca/en/ip/great-value-double-cheddar-shredded-cheese/6000208884139,,,,4.98,$1.56/100g,1.56,100g,False,,,,dairy,cheese,cheddar_cheese,shredded,,100g,1.56,
2026-09-18,cheese,Walmart Canada,Black Diamond Original Cheddar Cheese Slices,https://www.walmart.ca/en/ip/black-diamond-original-cheddar-cheese-slices/6000201085804,,,,3.47,85¢/100g,0.85,100g,False,Rollback,3.47,3.97,dairy,cheese,cheddar_cheese,sliced,,100g,0.85,
2026-09-18,cheese,Walmart Canada,Armstrong Old Cheddar Cheese,https://www.walmart.ca/en/ip/armstrong-old-cheddar-cheese/6000202304645,,,,4.98,$1.25/100g,1.25,100g,False,Rollback,4.98,7.96,dairy,cheese,cheddar_cheese,unspecified,,100g,1.25,
