date_observed,search_term,store,product_title,product_url,package_size_text,package_size,package_unit,displayed_price,unit_price_text,listed_unit_price,listed_unit,is_variable_weight,sale_status,sale_price,regular_price,multi_buy_quantity,multi_buy_unit_price,single_item_price,category,product_family,comparison_group,product_form,attributes,standardized_unit,price_per_standard_unit,data_quality_warning,normalization_error,displayed_price_text,promotion_text
2026-09-20,chicken breast,Loblaws Canada,Free From Boneless Skinless Chicken Breasts,https://www.loblaws.ca/en/free-from-boneless-skinless-chicken-breasts/p/21668770_KG,,,,26.01,$25.33/1kg $11.49/1lb,25.33,kg,True,,,,,,,meat,chicken_breast,chicken_breast_boneless,whole,boneless|skinless,100g,2.533,,,about $26.01,
2026-09-20,chicken breast,Loblaws Canada,Italiano One Step Seasoning,https://www.loblaws.ca/en/italiano-one-step-seasoning/p/20118736_EA,510 g,510.0,g,17.99,$3.53/100g,3.53,100g,False,,,,,,,unknown,unknown,unsupported,unknown,,100g,3.5274509803921563,,,$17.99,
2026-09-20,eggs,Loblaws Canada,Large Size Eggs 12 Pack,https://www.loblaws.ca/en/large-size-eggs-12-pack/p/20812144001_EA,12 ea,12.0,count,3.93,$0.33/1ea,0.33,1unit,False,,,,,,,dairy,eggs,large_eggs,shell,,1unit,0.3275,,,$3.93,
2026-09-20,eggs,Loblaws Canada,"Eggs, Medium",https://www.loblaws.ca/en/eggs-medium/p/21685186001_EA,30 ea,30.0,count,9.52,$0.32/1ea,0.32,1unit,False,,,,,,,dairy,eggs,medium_eggs,shell,,1unit,0.3173333333333333,,,$9.52,
2026-09-20,eggs,Loblaws Canada,Free Run Brown Eggs Large,https://www.loblaws.ca/en/free-run-brown-eggs-large/p/20813628001_EA,12 ea,12.0,count,7.15,$0.60/1ea,0.6,1unit,False,,,,,,,dairy,eggs,large_eggs,shell,free_run,1unit,0.5958333333333333,,,$7.15,
2026-09-20,eggs,Loblaws Canada,"Nature's Best White Eggs, Large",https://www.loblaws.ca/en/nature-s-best-white-eggs-large/p/20814983001_EA,12 ea,12.0,count,5.75,$0.48/1ea,0.48,1unit,False,SALE,5.75,6.21,,,,dairy,eggs,large_eggs,shell,,1unit,0.4791666666666667,,,$5.75,SAVE $0.46
2026-09-20,eggs,Loblaws Canada,"Free-Range Large Brown Eggs, Club Pack (30 Count)",https://www.loblaws.ca/en/free-range-large-brown-eggs-club-pack-30-count/p/21205224001_EA,30 ea,30.0,count,17.25,$0.58/1ea,0.58,1unit,False,,,,,,,dairy,eggs,large_eggs,shell,free_range,1unit,0.575,,,$17.25,
2026-09-20,eggs,Loblaws Canada,Premium Large Eggs,https://www.loblaws.ca/en/premium-large-eggs/p/20822787001_EA,18 ea,18.0,count,4.44,$0.25/1ea,0.25,1unit,False,SALE,4.44,6.98,,,,dairy,eggs,large_eggs,shell,,1unit,0.2466666666666667,,,$4.44,SAVE $2.54
2026-09-20,eggs,Loblaws Canada,Organics Large Size Free-Range Brown Eggs 12 Pack,https://www.loblaws.ca/en/organics-large-size-free-range-brown-eggs-12-pack/p/20813711001_EA,12 ea,12.0,count,7.99,$0.67/1ea,0.67,1unit,False,,,,,,,dairy,eggs,large_eggs,shell,organic|free_range,1unit,0.6658333333333334,,,$7.99,
2026-09-20,eggs,Loblaws Canada,"Naturegg Nest Laid White Eggs, Large",https://www.loblaws.ca/en/naturegg-nest-laid-white-eggs-large/p/20816075001_EA,12 ea,12.0,count,5.75,$0.48/1ea,0.48,1unit,False,SALE,5.75,6.19,,,,dairy,eggs,large_eggs,shell,,1unit,0.4791666666666667,,,$5.75,SAVE $0.44
2026-09-20,eggs,Loblaws Canada,Extra Large Size Eggs 12 Pack,https://www.loblaws.ca/en/extra-large-size-eggs-12-pack/p/20812726001_EA,12 ea,12.0,count,4.69,$0.39/1ea,0.39,1unit,False,,,,,,,dairy,eggs,extra_large_eggs,shell,,1unit,0.39083333333333337,,,$4.69,
2026-09-20,eggs,Loblaws Canada,Brown Eggs Free Run Omega-3 Size: Large,https://www.loblaws.ca/en/brown-eggs-free-run-omega-3-size-large/p/21542380001_EA,18 ea,18.0,count,10.49,$0.58/1ea,0.58,1unit,False,,,,,,,dairy,eggs,large_eggs,shell,free_run|omega_3,1unit,0.5827777777777778,,,$10.49,
2026-09-20,eggs,Loblaws Canada,"Organic Free Range Eggs, 18 Eggs",https://www.loblaws.ca/en/organic-free-range-eggs-18-eggs/p/21572055001_EA,18 ea,18.0,count,11.49,$0.64/1ea,0.64,1unit,False,,,,,,,dairy,eggs,shell_eggs_unspecified_size,shell,organic|free_range,1unit,0.6383333333333333,,,$11.49,
2026-09-20,eggs,Loblaws Canada,Medium Size Eggs 12 Pack,https://www.loblaws.ca/en/medium-size-eggs-12-pack/p/20813386001_EA,12 ea,12.0,count,3.85,$0.32/1ea,0.32,1unit,False,,,,,,,dairy,eggs,medium_eggs,shell,,1unit,0.32083333333333336,,,$3.85,
2026-09-20,apples,Loblaws Canada,"Gerber Puffs, Strawberry & Apple Flavour, Baby Snack",https://www.loblaws.ca/en/gerber-puffs-strawberry-apple-flavour-baby-snack/p/20304618003_EA,42 g,42.0,g,3.99,$9.50/100g,9.5,100g,False,multi-buy,3.0,,2.0,3.0,3.99,unknown,unknown,unsupported,unknown,,100g,9.5,,,$3.99,$3.00 MIN 2
2026-09-20,apples,Loblaws Canada,"Gala Apples, 4 lb bag",https://www.loblaws.ca/en/gala-apples-4-lb-bag/p/20767998001_EA,1.81 kg,1.81,kg,8.5,$0.47/100g,0.47,100g,False,,,,,,,produce,apples,fresh_apples,bagged,,100g,0.4696132596685083,,,$8.50,
2026-09-20,apples,Loblaws Canada,Gerber Lil’ Crunchies Apple Sweet Potato Flavour,https://www.loblaws.ca/en/gerber-lil-crunchies-apple-sweet-potato-flavour/p/20782964_EA,42 g,42.0,g,3.99,$9.50/100g,9.5,100g,False,multi-buy,3.0,,2.0,3.0,3.99,unknown,unknown,unsupported,unknown,,100g,9.5,,,$3.99,$3.00 MIN 2
2026-09-20,apples,Loblaws Canada,Gerber Multigrain Apples & Oranges Baby Cereal,https://www.loblaws.ca/en/gerber-multigrain-apples-oranges-baby-cereal/p/20574634001_EA,227 g,227.0,g,5.99,$2.64/100g,2.64,100g,False,multi-buy,5.5,,2.0,5.5,5.99,unknown,unknown,unsupported,unknown,,100g,2.6387665198237884,,,$5.99,$5.50 MIN 2
2026-09-20,apples,Loblaws Canada,Royal Gala Apples,https://www.loblaws.ca/en/royal-gala-apples/p/20083526001_KG,,,,1.39,$6.61/1kg $3.00/1lb,6.61,kg,True,,,,,,,produce,apples,fresh_apples,loose,,100g,0.661,,,about $1.39,
2026-09-20,apples,Loblaws Canada,Gerber Stage 3 Multigrain Yogurt Apple Pear Banana Baby Cereal,https://www.loblaws.ca/en/gerber-stage-3-multigrain-yogurt-apple-pear-banana/p/20358339002_EA,227 g,227.0,g,5.99,$2.64/100g,2.64,100g,False,multi-buy,5.5,,2.0,5.5,5.99,unknown,unknown,unsupported,unknown,,100g,2.6387665198237884,,,$5.99,$5.50 MIN 2
2026-09-20,apples,Loblaws Canada,Ambrosia Apples,https://www.loblaws.ca/en/ambrosia-apples/p/21307212001_EA,1.814 kg,1.814,kg,9.5,$0.52/100g,0.52,100g,False,,,,,,,produce,apples,fresh_apples,packaged,,100g,0.5237045203969128,,,$9.50,
2026-09-20,apples,Loblaws Canada,"Gerber Lil’ Crunchies Mild Cheddar Flavour Toddler Snacks, 12 Months & Up",https://www.loblaws.ca/en/gerber-lil-crunchies-mild-cheddar-flavour-toddler/p/20304618007_EA,42 g,42.0,g,3.99,$9.50/100g,9.5,100g,False,multi-buy,3.0,,2.0,3.0,3.99,unknown,unknown,unsupported,unknown,,100g,9.5,,,$3.99,$3.00 MIN 2
2026-09-20,apples,Loblaws Canada,Honeycrisp Apples,https://www.loblaws.ca/en/honeycrisp-apples/p/20132621001_KG,,,,2.12,$8.82/1kg $4.00/1lb,8.82,kg,True,,,,,,,produce,apples,fresh_apples,loose,,100g,0.882,,,about $2.12,
2026-09-20,apples,Loblaws Canada,Cheerios Cereal Apple Cinnamon Family Size,https://www.loblaws.ca/en/cheerios-cereal-apple-cinnamon-family-size/p/21103509_EA,778 g,778.0,g,5.0,$0.64/100g,0.64,100g,False,SALE,5.0,7.99,,,,unknown,unknown,unsupported,unknown,,100g,0.6426735218508998,,,$5.00,SAVE $2.99
2026-09-20,apples,Loblaws Canada,"Naturally Imperfect Apples, 6 lb bag",https://www.loblaws.ca/en/naturally-imperfect-apples-6-lb-bag/p/20868985001_EA,2.72 kg,2.72,kg,9.0,$0.33/100g,0.33,100g,False,,,,,,,produce,apples,fresh_apples,bagged,,100g,0.33088235294117646,,,$9.00,
2026-09-20,apples,Loblaws Canada,Apple Pie Spice,https://www.loblaws.ca/en/apple-pie-spice/p/21104061_EA,38 g,38.0,g,6.49,$17.08/100g,17.08,100g,False,,,,,,,unknown,unknown,unsupported,unknown,,100g,17.07894736842105,,,$6.49,
2026-09-20,bananas,Loblaws Canada,Gerber Stage 3 Oat Banana Mango Baby Cereal,https://www.loblaws.ca/en/gerber-stage-3-oat-banana-mango-baby-cereal/p/21024946_EA,227 g,227.0,g,5.99,$2.64/100g,2.64,100g,False,multi-buy,5.5,,2.0,5.5,5.99,unknown,unknown,unsupported,unknown,,100g,2.6387665198237884,,,$5.99,$5.50 MIN 2
2026-09-20,bananas,Loblaws Canada,"Bananas, Bunch",https://www.loblaws.ca/en/bananas-bunch/p/20175355001_KG,,,,2.25,$1.96/1kg $0.89/1lb,1.96,kg,True,,,,,,,produce,bananas,fresh_bananas,loose,,100g,0.196,,,about $2.25,
2026-09-20,bananas,Loblaws Canada,"Gerber Puffs, Banana Flavour, Snack for Babies 8 Mo & Up",https://www.loblaws.ca/en/gerber-puffs-banana-flavour-snack-for-babies-8-mo/p/20304618002_EA,42 g,42.0,g,3.99,$9.50/100g,9.5,100g,False,multi-buy,3.0,,2.0,3.0,3.99,unknown,unknown,unsupported,unknown,,100g,9.5,,,$3.99,$3.00 MIN 2
2026-09-20,bananas,Loblaws Canada,Gerber Stage 3 Multigrain Yogurt Apple Pear Banana Baby Cereal,https://www.loblaws.ca/en/gerber-stage-3-multigrain-yogurt-apple-pear-banana/p/20358339002_EA,227 g,227.0,g,5.99,$2.64/100g,2.64,100g,False,multi-buy,5.5,,2.0,5.5,5.99,unknown,unknown,unsupported,unknown,,100g,2.6387665198237884,,,$5.99,$5.50 MIN 2
2026-09-20,bananas,Loblaws Canada,"Organic Bananas, Bunch",https://www.loblaws.ca/en/organic-bananas-bunch/p/20139509001_KG,,,,2.64,$2.40/1kg $1.09/1lb,2.4,kg,True,,,,,,,produce,bananas,fresh_bananas,loose,organic,100g,0.24,,,about $2.64,
2026-09-20,bananas,Loblaws Canada,Gerber Stage 2 Wheat Banana Strawberry Baby Cereal,https://www.loblaws.ca/en/gerber-stage-2-wheat-banana-strawberry-baby-cereal/p/20962127_EA,227 g,227.0,g,5.99,$2.64/100g,2.64,100g,False,multi-buy,5.5,,2.0,5.5,5.99,unknown,unknown,unsupported,unknown,,100g,2.6387665198237884,,,$5.99,$5.50 MIN 2
2026-09-20,bananas,Loblaws Canada,"Mini Bananas, Bunch",https://www.loblaws.ca/en/mini-bananas-bunch/p/20033488001_KG,,,,2.17,$5.05/1kg $2.29/1lb,5.05,kg,True,,,,,,,produce,bananas,fresh_bananas,loose,,100g,0.505,,,about $2.17,
2026-09-20,bananas,Loblaws Canada,Gerber Organic Yogurt Melts Strawberry Banana Toddler Snack,https://www.loblaws.ca/en/gerber-organic-yogurt-melts-strawberry-banana-todd/p/21097185_EA,28 g,28.0,g,5.29,$18.89/100g,18.89,100g,False,multi-buy,4.0,,2.0,4.0,5.29,unknown,unknown,unsupported,unknown,,100g,18.892857142857142,,,$5.29,$4.00 MIN 2
2026-09-20,bananas,Loblaws Canada,"Plantains, Single",https://www.loblaws.ca/en/plantains-single/p/20111926001_KG,,,,1.46,$4.41/1kg $2.00/1lb,4.41,kg,True,,,,,,,produce,plantains,fresh_plantains,loose,,100g,0.441,,,about $1.46,
2026-09-20,bananas,Loblaws Canada,"Gerber Organic Wheat & Wholegrain Oat Banana, Baby Cereal",https://www.loblaws.ca/en/gerber-organic-wheat-wholegrain-oat-banana-baby-ce/p/21121781_EA,208 g,208.0,g,6.99,$3.36/100g,3.36,100g,False,multi-buy,5.5,,2.0,5.5,6.99,unknown,unknown,unsupported,unknown,,100g,3.360576923076923,,,$6.99,$5.50 MIN 2
2026-09-20,bananas,Loblaws Canada,"Manzano Bananas, Bunch",https://www.loblaws.ca/en/manzano-bananas-bunch/p/20649591001_KG,,,,4.21,$4.39/1kg $1.99/1lb,4.39,kg,True,,,,,,,produce,bananas,fresh_bananas,loose,,100g,0.439,,,about $4.21,
2026-09-20,bananas,Loblaws Canada,Tubes Yogurt Vanilla Flavour 1% M.F.,https://www.loblaws.ca/en/tubes-yogurt-vanilla-flavour-1-m-f/p/21547571_EA,448 g,448.0,g,4.49,$1.00/100g,1.0,100g,False,multi-buy,3.5,,2.0,3.5,4.49,unknown,unknown,unsupported,unknown,,100g,1.0022321428571428,,,$4.49,$3.50 MIN 2
2026-09-20,pasta,Loblaws Canada,White Cheddar Macaroni & Cheese,https://www.loblaws.ca/en/white-cheddar-macaroni-cheese/p/21549555_EA,175 g,175.0,g,2.99,$1.71/100g,1.71,100g,False,multi-buy,2.5,,2.0,2.5,2.99,unknown,unknown,unsupported,unknown,,100g,1.7085714285714286,,,$2.99,$2.50 MIN 2
2026-09-20,pasta,Loblaws Canada,Rotini,https://www.loblaws.ca/en/rotini/p/20315613004_EA,900 g,900.0,g,2.29,$0.25/100g,0.25,100g,False,,,,,,,pantry,pasta,dry_pasta,dry,,100g,0.2544444444444445,,,$2.29,
2026-09-20,pasta,Loblaws Canada,Farfalle Pasta,https://www.loblaws.ca/en/farfalle-pasta/p/21404904_EA,410 g,410.0,g,2.99,$0.73/100g,0.73,100g,False,multi-buy,2.5,,2.0,2.5,2.99,pantry,pasta,dry_pasta,dry,,100g,0.7292682926829269,,,$2.99,$2.50 MIN 2
2026-09-20,pasta,Loblaws Canada,Cellentani Pasta,https://www.loblaws.ca/en/cellentani-pasta/p/21593622_EA,340 g,340.0,g,2.99,$8.79/100g,8.79,100g,False,multi-buy,2.5,,2.0,2.5,2.99,pantry,pasta,dry_pasta,dry,,100g,0.8794117647058823,Listed unit price differs from the package-derived price by 10.00x; package-derived normalization was retained.,,$2.99,$2.50 MIN 2
2026-09-20,pasta,Loblaws Canada,Cavatappi,https://www.loblaws.ca/en/cavatappi/p/20315613009_EA,900 g,900.0,g,2.29,$0.25/100g,0.25,100g,False,,,,,,,pantry,pasta,dry_pasta,dry,,100g,0.2544444444444445,,,$2.29,
2026-09-20,pasta,Loblaws Canada,Penne Rigate Pasta,https://www.loblaws.ca/en/penne-rigate-pasta/p/20315613006_EA,900 g,900.0,g,2.29,$0.25/100g,0.25,100g,False,,,,,,,pantry,pasta,dry_pasta,dry,,100g,0.2544444444444445,,,$2.29,
2026-09-20,pasta,Loblaws Canada,Rotini Pasta,https://www.loblaws.ca/en/rotini-pasta/p/21404963_EA,410 g,410.0,g,2.99,$0.73/100g,0.73,100g,False,multi-buy,2.5,,2.0,2.5,2.99,pantry,pasta,dry_pasta,dry,,100g,0.7292682926829269,,,$2.99,$2.50 MIN 2
2026-09-20,pasta,Loblaws Canada,Conchiglie Pasta,https://www.loblaws.ca/en/conchiglie-pasta/p/21404961_EA,410 g,410.0,g,2.99,$0.73/100g,0.73,100g,False,multi-buy,2.5,,2.0,2.5,2.99,pantry,pasta,dry_pasta,dry,,100g,0.7292682926829269,,,$2.99,$2.50 MIN 2
2026-09-20,pasta,Loblaws Canada,Elbow Macaroni,https://www.loblaws.ca/en/elbow-macaroni/p/20315613003_EA,900 g,900.0,g,2.29,$0.25/100g,0.25,100g,False,,,,,,,pantry,pasta,dry_pasta,dry,,100g,0.2544444444444445,,,$2.29,
2026-09-20,pasta,Loblaws Canada,Spaghetti,https://www.loblaws.ca/en/spaghetti/p/20315613002_EA,900 g,900.0,g,2.29,$0.25/100g,0.25,100g,False,,,,,,,pantry,pasta,dry_pasta,dry,,100g,0.2544444444444445,,,$2.29,
2026-09-20,pasta,Loblaws Canada,Penne Rigate Pasta,https://www.loblaws.ca/en/penne-rigate-pasta/p/21550231_EA,410 g,410.0,g,2.99,$0.73/100g,0.73,100g,False,multi-buy,2.5,,2.0,2.5,2.99,pantry,pasta,dry_pasta,dry,,100g,0.7292682926829269,,,$2.99,$2.50 MIN 2
2026-09-20,pasta,Loblaws Canada,Dairy Free Mozzarella Cheese Shreds,https://www.loblaws.ca/en/dairy-free-mozzarella-cheese-shreds/p/21591969_EA,200 g,200.0,g,6.49,$3.25/100g,3.25,100g,False,,,,,,,unknown,unknown,unsupported,shredded,dairy_free,100g,3.245,,,$6.49,
2026-09-20,bread,Loblaws Canada,Sourdough Bistro,https://www.loblaws.ca/en/sourdough-bistro/p/21616156_EA,595 g,595.0,g,5.5,$0.92/100g,0.92,100g,False,,,,,,,bakery,bread,artisan_bread,loaf,,100g,0.9243697478991597,,,$5.50,
2026-09-20,bread,Loblaws Canada,14 Grain Bread,https://www.loblaws.ca/en/14-grain-bread/p/21178642_EA,600 g,600.0,g,4.49,$0.75/100g,0.75,100g,False,,,,,,,bakery,bread,sliced_bread,sliced_loaf,,100g,0.7483333333333334,,,$4.49,
2026-09-20,bread,Loblaws Canada,Original Cheese Snacks 6P,https://www.loblaws.ca/en/original-cheese-snacks-6p/p/20574332_EA,120 g,120.0,g,5.0,$4.17/100g,4.17,100g,False,SALE,5.0,6.49,,,,dairy,cheese,cheese_unspecified_type,unspecified,,100g,4.166666666666666,,,$5.00,SAVE $1.49
2026-09-20,bread,Loblaws Canada,Classic White Bistro,https://www.loblaws.ca/en/classic-white-bistro/p/21616092_EA,595 g,595.0,g,5.5,$0.92/100g,0.92,100g,False,,,,,,,bakery,bread,artisan_bread,loaf,,100g,0.9243697478991597,,,$5.50,
2026-09-20,bread,Loblaws Canada,Whole Grain & Protein Blend Bread,https://www.loblaws.ca/en/whole-grain-protein-blend-bread/p/21429067_EA,600 g,600.0,g,4.49,$0.75/100g,0.75,100g,False,,,,,,,bakery,bread,sliced_bread,sliced_loaf,whole_wheat,100g,0.7483333333333334,,,$4.49,
2026-09-20,bread,Loblaws Canada,Rosemary Focaccia,https://www.loblaws.ca/en/rosemary-focaccia/p/21596086_EA,560 g,560.0,g,6.0,$1.07/100g,1.07,100g,False,,,,,,,unknown,unknown,unsupported,unknown,,100g,1.0714285714285714,,,$6.00,
2026-09-20,bread,Loblaws Canada,Thick Slice Original White Bread,https://www.loblaws.ca/en/thick-slice-original-white-bread/p/20038335_EA,675 g,675.0,g,4.29,$0.64/100g,0.64,100g,False,,,,,,,bakery,bread,sliced_bread,sliced_loaf,,100g,0.6355555555555555,,,$4.29,
2026-09-20,bread,Loblaws Canada,Sliced Sourdough Miche Loaf,https://www.loblaws.ca/en/sliced-sourdough-miche-loaf/p/21624691_EA,700 g,700.0,g,6.5,$0.93/100g,0.93,100g,False,,,,,,,bakery,bread,sliced_bread,sliced_loaf,,100g,0.9285714285714286,,,$6.50,
2026-09-20,bread,Loblaws Canada,14 Grains & Protein Sliced Bread,https://www.loblaws.ca/en/14-grains-protein-sliced-bread/p/21693323_EA,600 g,600.0,g,4.49,$0.75/100g,0.75,100g,False,,,,,,,bakery,bread,sliced_bread,sliced_loaf,,100g,0.7483333333333334,,,$4.49,
2026-09-20,bread,Loblaws Canada,"Chef's Signature with 8% Clarified Butter, Salted",https://www.loblaws.ca/en/chef-s-signature-with-8-clarified-butter-salted/p/21747634_EA,454 g,454.0,g,6.99,$1.54/100g,1.54,100g,False,,,,,,,unknown,unknown,unsupported,unknown,,100g,1.539647577092511,,,$6.99,
2026-09-20,bread,Loblaws Canada,Thick Slice 100% Whole Wheat Bread,https://www.loblaws.ca/en/thick-slice-100-whole-wheat-bread/p/20322326_EA,675 g,675.0,g,4.29,$0.64/100g,0.64,100g,False,,,,,,,bakery,bread,sliced_bread,sliced_loaf,whole_wheat,100g,0.6355555555555555,,,$4.29,
2026-09-20,bread,Loblaws Canada,Salted Plant Butter Sticks,https://www.loblaws.ca/en/salted-plant-butter-sticks/p/21088919_EA,454 g,454.0,g,5.49,$1.21/100g,1.21,100g,False,,,,,,,unknown,unknown,unsupported,unknown,,100g,1.2092511013215859,,,$5.49,
2026-09-20,cheese,Loblaws Canada,Dairy Free Cheddar Cheese Slices,https://www.loblaws.ca/en/dairy-free-cheddar-cheese-slices/p/21339330_EA,200 g,200.0,g,6.49,$3.25/100g,3.25,100g,False,,,,,,,unknown,unknown,unsupported,sliced,dairy_free,100g,3.245,,,$6.49,
2026-09-20,cheese,Loblaws Canada,Marble Farmer's Cheese,https://www.loblaws.ca/en/marble-farmer-s-cheese/p/20975773_EA,700 g,700.0,g,10.99,$1.57/100g,1.57,100g,False,,,,,,,dairy,cheese,marble_cheese,unspecified,,100g,1.5699999999999998,,,$10.99,
2026-09-20,cheese,Loblaws Canada,Dairy Free Feta Cheese,https://www.loblaws.ca/en/dairy-free-feta-cheese/p/21426396_EA,200 g,200.0,g,6.49,$3.25/100g,3.25,100g,False,,,,,,,unknown,unknown,unsupported,unspecified,dairy_free,100g,3.245,,,$6.49,
2026-09-20,cheese,Loblaws Canada,Dairy Free Mature Cheddar Cheese Slices,https://www.loblaws.ca/en/dairy-free-mature-cheddar-cheese-slices/p/21339319_EA,200 g,200.0,g,6.49,$3.25/100g,3.25,100g,False,,,,,,,unknown,unknown,unsupported,sliced,dairy_free,100g,3.245,,,$6.49,
2026-09-20,cheese,Loblaws Canada,Triple Cheddar Shredded Cheese Blend,https://www.loblaws.ca/en/triple-cheddar-shredded-cheese-blend/p/21060183_EA,320 g,320.0,g,6.79,$2.12/100g,2.12,100g,False,,,,,,,dairy,cheese,cheddar_cheese,shredded,,100g,2.121875,,,$6.79,
2026-09-20,cheese,Loblaws Canada,Dairy Free Smoked Provolone Slices,https://www.loblaws.ca/en/dairy-free-smoked-provolone-slices/p/21339317_EA,200 g,200.0,g,6.49,$3.25/100g,3.25,100g,False,,,,,,,unknown,unknown,unsupported,unknown,,100g,3.245,,,$6.49,
2026-09-20,cheese,Loblaws Canada,Marble Cheddar Cheese Bar,https://www.loblaws.ca/en/marble-cheddar-cheese-bar/p/21279221_EA,400 g,400.0,g,7.49,$1.87/100g,1.87,100g,False,,,,,,,dairy,cheese,cheddar_cheese,block,,100g,1.8725000000000003,,,$7.49,
2026-09-20,cheese,Loblaws Canada,Dairy Free Mozzarella Cheese Shreds,https://www.loblaws.ca/en/dairy-free-mozzarella-cheese-shreds/p/21591969_EA,200 g,200.0,g,6.49,$3.25/100g,3.25,100g,False,,,,,,,unknown,unknown,unsupported,shredded,dairy_free,100g,3.245,,,$6.49,
2026-09-20,cheese,Loblaws Canada,Marble Farmer's Cheese,https://www.loblaws.ca/en/marble-farmer-s-cheese/p/21289745_EA,400 g,400.0,g,6.79,$1.70/100g,1.7,100g,False,multi-buy,6.0,,2.0,6.0,6.79,dairy,cheese,marble_cheese,unspecified,,100g,1.6975,,,$6.79,$6.00 MIN 2
2026-09-20,cheese,Loblaws Canada,Gouda Taste Cheese Snacks 6P,https://www.loblaws.ca/en/gouda-taste-cheese-snacks-6p/p/21542431_EA,120 g,120.0,g,5.0,$4.17/100g,4.17,100g,False,SALE,5.0,6.49,,,,dairy,cheese,cheese_unspecified_type,unspecified,,100g,4.166666666666666,,,$5.00,SAVE $1.49
2026-09-20,cheese,Loblaws Canada,Old Cheddar Cheese Bar,https://www.loblaws.ca/en/old-cheddar-cheese-bar/p/21208649_EA,400 g,400.0,g,7.49,$1.87/100g,1.87,100g,False,,,,,,,dairy,cheese,cheddar_cheese,block,,100g,1.8725000000000003,,,$7.49,
