date_observed,search_term,store,product_title,product_url,package_size_text,package_size,package_unit,displayed_price,unit_price_text,listed_unit_price,listed_unit,is_variable_weight,sale_status,sale_price,regular_price,multi_buy_quantity,multi_buy_unit_price,single_item_price,category,product_family,comparison_group,product_form,attributes,standardized_unit,price_per_standard_unit,data_quality_warning,normalization_error
2026-09-19,cheese,No Frills Canada,Dairy Free Cheddar Cheese Shreds,https://www.nofrills.ca/en/dairy-free-cheddar-cheese-shreds/p/21592030_EA,200 g,200.0,g,6.0,$3.00/100g,3.0,100g,False,,,,,,,dairy,cheese,cheddar_cheese,shredded,dairy_free,100g,3.0,,
2026-09-19,cheese,No Frills Canada,Dairy Free Cheddar Cheese Slices,https://www.nofrills.ca/en/dairy-free-cheddar-cheese-slices/p/21339330_EA,200 g,200.0,g,6.29,$3.15/100g,3.15,100g,False,,,,,,,dairy,cheese,cheddar_cheese,sliced,dairy_free,100g,3.145,,
2026-09-19,cheese,No Frills Canada,Dairy Free Mature Cheddar Cheese Slices,https://www.nofrills.ca/en/dairy-free-mature-cheddar-cheese-slices/p/21339319_EA,200 g,200.0,g,6.29,$3.15/100g,3.15,100g,False,,,,,,,dairy,cheese,cheddar_cheese,sliced,dairy_free,100g,3.145,,
2026-09-18,cheese,Walmart Canada,Black Diamond Original Cheddar Cheese Slices,https://www.walmart.ca/en/ip/black-diamond-original-cheddar-cheese-slices/6000201085804,,,,3.47,85¢/100g,0.85,100g,False,Rollback,3.47,3.97,,,,dairy,cheese,cheddar_cheese,sliced,,100g,0.85,,
2026-09-18,cheese,Walmart Canada,Armstrong Marble Cheddar Cheese,https://www.walmart.ca/en/ip/armstrong-marble-cheddar-cheese/6000202303820,,,,4.98,$1.25/100g,1.25,100g,False,Rollback,4.98,7.96,,,,dairy,cheese,cheddar_cheese,unspecified,,100g,1.25,,
2026-09-18,cheese,Walmart Canada,Armstrong Old Cheddar Cheese,https://www.walmart.ca/en/ip/armstrong-old-cheddar-cheese/6000202304645,,,,4.98,$1.25/100g,1.25,100g,False,Rollback,4.98,7.96,,,,dairy,cheese,cheddar_cheese,unspecified,,100g,1.25,,
2026-09-18,cheese,Walmart Canada,Great Value Marble Cheddar Cheese,https://www.walmart.ca/en/ip/great-value-marble-cheddar-cheese/6000208884276,,,,5.48,$1.37/100g,1.37,100g,False,,,,,,,dairy,cheese,cheddar_cheese,unspecified,,100g,1.37,,
2026-09-18,cheese,Walmart Canada,"Black Diamond Marble Cheddar Cheese Bar, 400g",https://www.walmart.ca/en/ip/black-diamond-marble-cheddar-cheese-bar-400g/6000201233924,400g,400.0,g,5.98,$1.50/100g,1.5,100g,False,,,,,,,dairy,cheese,cheddar_cheese,block,,100g,1.495,,
2026-09-18,cheese,Walmart Canada,Great Value Double Cheddar Shredded Cheese,https://www.walmart.ca/en/ip/great-value-double-cheddar-shredded-cheese/6000208884139,,,,4.98,$1.56/100g,1.56,100g,False,,,,,,,dairy,cheese,cheddar_cheese,shredded,,100g,1.56,,
2026-09-18,cheese,Walmart Canada,Daiya Dairy Free Cheddar Cheese Shreds,https://www.walmart.ca/en/ip/daiya-dairy-free-cheddar-cheese-shreds/6000202560794,,,,4.88,$2.44/100g,2.44,100g,False,,,,,,,dairy,cheese,cheddar_cheese,shredded,dairy_free,100g,2.44,,
2026-09-18,cheese,Walmart Canada,Daiya Dairy Free Cheddar Cheese Slices,https://www.walmart.ca/en/ip/daiya-dairy-free-cheddar-cheese-slices/6000203812748,,,,4.88,$2.44/100g,2.44,100g,False,,,,,,,dairy,cheese,cheddar_cheese,sliced,dairy_free,100g,2.44,,
2026-09-19,cheese,Food Basics Canada,Cheese Spread,https://www.foodbasics.ca/aisles/pantry/cereals-spreads-syrups/cheese-savoury-spreads/cheese-spread/p/068100892314,450 g,450.0,g,3.99,$0.89 /100g,0.89,100g,False,sale,3.99,6.49,,,,dairy,cheese,cheese_unspecified_type,spread,,100g,0.8866666666666667,,
2026-09-19,cheese,Food Basics Canada,"Goat's Milk Cheese, Artisan",https://www.foodbasics.ca/aisles/dairy-eggs/deli-cheese/goat-sheep/goat-s-milk-cheese/p/059749931861,250 g,250.0,g,9.49,$3.80 /100g,3.8,100g,False,,,,,,,dairy,cheese,cheese_unspecified_type,unspecified,,100g,3.796,,
2026-09-19,bread,No Frills Canada,Italiano Natural Shredded Cheese,https://www.nofrills.ca/en/italiano-natural-shredded-cheese/p/21603918_EA,320 g,320.0,g,4.99,$1.56/100g,1.56,100g,False,SALE,4.99,6.0,,,,dairy,cheese,cheese_unspecified_type,shredded,,100g,1.559375,,
2026-09-19,cheese,No Frills Canada,Nibblers Original Natural Cheese Snacks,https://www.nofrills.ca/en/nibblers-original-natural-cheese-snacks/p/21539032_EA,200 g,200.0,g,5.0,$2.50/100g,2.5,100g,False,,,,,,,dairy,cheese,cheese_unspecified_type,unspecified,,100g,2.5,,
2026-09-18,cheese,Walmart Canada,Daiya Dairy Free Mexican Blend Cheese Shreds,https://www.walmart.ca/en/ip/daiya-dairy-free-mexican-blend-cheese-shreds/6000203811296,,,,4.88,$2.44/100g,2.44,100g,False,,,,,,,dairy,cheese,cheese_unspecified_type,shredded,dairy_free,100g,2.44,,
2026-09-19,chicken breast,Food Basics Canada,"Skinless Half Chicken Breast without Back, Value Pack",https://www.foodbasics.ca/aisles/meat-poultry/chicken-turkey/breasts/skinless-half-chicken-breast-without-back/p/215579,,,,21.47,$14.31 /kg$6.49 /lb.,14.31,kg,True,,,,,,,meat,chicken_breast,chicken_breast,whole,skinless,100g,1.431,,
2026-09-19,chicken breast,No Frills Canada,Chicken Breasts,https://www.nofrills.ca/en/chicken-breasts/p/21741388_EA,800 g,800.0,g,15.0,$1.88/100g,1.88,100g,False,,,,,,,meat,chicken_breast,chicken_breast,whole,,100g,1.875,,
2026-09-18,chicken breast,Walmart Canada,"Prime Raised Without Antibiotics Diced Chicken Breast, pc, 0.48 - 0.57 KG",https://www.walmart.ca/en/ip/prime-raised-without-antibiotics-diced-chicken-breast/3JL25TEW2309,0.48 - 0.57 KG,,kg,11.38,$2.17/100g,2.17,100g,True,,,,,,,meat,chicken_breast,chicken_breast,diced,raised_without_antibiotics,100g,2.17,,
2026-09-19,chicken breast,Food Basics Canada,Boneless and Skinless Chicken Breast,https://www.foodbasics.ca/aisles/meat-poultry/chicken-turkey/breasts/boneless-and-skinless-chicken-breast/p/234960,900 g,900.0,g,14.0,$1.56 /100g,1.56,100g,False,,,,,,,meat,chicken_breast,chicken_breast_boneless,whole,boneless|skinless,100g,1.5555555555555556,,
2026-09-19,chicken breast,Food Basics Canada,"Boneless Skinless Chicken Breast, Value Pack",https://www.foodbasics.ca/aisles/meat-poultry/chicken-turkey/breasts/boneless-skinless-chicken-breast/p/216154,,,,18.16,$16.51 /kg$7.49 /lb.,16.51,kg,True,,,,,,,meat,chicken_breast,chicken_breast_boneless,whole,boneless|skinless,100g,1.651,,
2026-09-19,chicken breast,Food Basics Canada,Boneless Skinless Chicken Breasts,https://www.foodbasics.ca/aisles/meat-poultry/chicken-turkey/breasts/boneless-skinless-chicken-breasts/p/215064,,,,10.74,$17.61 /kg$7.99 /lb.,17.61,kg,True,,,,,,,meat,chicken_breast,chicken_breast_boneless,whole,boneless|skinless,100g,1.761,,
2026-09-19,chicken breast,Food Basics Canada,"Boneless Skinless Chicken Breasts, Prime",https://www.foodbasics.ca/aisles/meat-poultry/chicken-turkey/breasts/boneless-skinless-chicken-breasts/p/236352,,,,20.48,$22.02 /kg$9.99 /lb.,22.02,kg,True,,,,,,,meat,chicken_breast,chicken_breast_boneless,whole,boneless|skinless,100g,2.202,,
2026-09-19,chicken breast,Food Basics Canada,Boneless Skinless Halal Chicken Breast,https://www.foodbasics.ca/aisles/meat-poultry/chicken-turkey/breasts/boneless-skinless-halal-chicken-breast/p/222767,,,,22.02,$22.02 /kg$9.99 /lb.,22.02,kg,True,,,,,,,meat,chicken_breast,chicken_breast_boneless,whole,halal|boneless|skinless,100g,2.202,,
2026-09-19,chicken breast,Food Basics Canada,"Boneless Skinless Chicken Breasts, Prime",https://www.foodbasics.ca/aisles/meat-poultry/chicken-turkey/breasts/boneless-skinless-chicken-breasts/p/236338,,,,8.48,$24.23 /kg$10.99 /lb.,24.23,kg,True,,,,,,,meat,chicken_breast,chicken_breast_boneless,whole,boneless|skinless,100g,2.423,,
2026-09-19,chicken breast,Food Basics Canada,"Boneless Skinless Chicken Breast Fillets, Prime",https://www.foodbasics.ca/aisles/meat-poultry/chicken-turkey/breasts/boneless-skinless-chicken-breast-fillets/p/236348,,,,12.41,$35.25 /kg$15.99 /lb.,35.25,kg,True,,,,,,,meat,chicken_breast,chicken_breast_boneless,fillet,boneless|skinless,100g,3.5249999999999995,,
2026-09-19,chicken breast,No Frills Canada,"Chicken Breast Boneless & Skinless, Club Pack",https://www.nofrills.ca/en/chicken-breast-boneless-skinless-club-pack/p/20654124_KG,,,,16.2,$13.21/1kg $5.99/1lb,13.21,kg,True,SALE,16.2,18.89,,,,meat,chicken_breast,chicken_breast_boneless,whole,boneless|skinless,100g,1.3210000000000002,,
2026-09-19,chicken breast,No Frills Canada,Extra Lean Boneless Skinless Chicken Breasts,https://www.nofrills.ca/en/extra-lean-boneless-skinless-chicken-breasts/p/21606270_EA,841 g,841.0,g,16.0,$1.90/100g,1.9,100g,False,,,,,,,meat,chicken_breast,chicken_breast_boneless,whole,boneless|skinless,100g,1.9024970273483943,,
2026-09-19,chicken breast,No Frills Canada,Free From Boneless Skinless Chicken Breasts,https://www.nofrills.ca/en/free-from-boneless-skinless-chicken-breasts/p/21668770_KG,,,,20.36,$19.82/1kg $8.99/1lb,19.82,kg,True,,,,,,,meat,chicken_breast,chicken_breast_boneless,whole,boneless|skinless,100g,1.982,,
2026-09-19,chicken breast,No Frills Canada,Blue Menu Extra Lean Boneless Skinless Chicken Breasts,https://www.nofrills.ca/en/blue-menu-extra-lean-boneless-skinless-chicken-bre/p/21606970_EA,0.42 kg,0.42,kg,9.0,$2.14/100g,2.14,100g,False,,,,,,,meat,chicken_breast,chicken_breast_boneless,whole,boneless|skinless,100g,2.142857142857143,,
2026-09-19,chicken breast,No Frills Canada,"Free From Chicken Breast, Boneless, Skinless",https://www.nofrills.ca/en/free-from-chicken-breast-boneless-skinless/p/21668470_KG,,,,11.85,$25.33/1kg $11.49/1lb,25.33,kg,True,,,,,,,meat,chicken_breast,chicken_breast_boneless,whole,boneless|skinless,100g,2.533,,
2026-09-19,chicken breast,No Frills Canada,"Boneless Skinless Chicken Breasts, Raised on Canadian Farms",https://www.nofrills.ca/en/boneless-skinless-chicken-breasts-raised-on-canadi/p/20569087_EA,508 g,508.0,g,14.0,$2.76/100g,2.76,100g,False,,,,,,,meat,chicken_breast,chicken_breast_boneless,whole,boneless|skinless,100g,2.7559055118110236,,
2026-09-19,chicken breast,No Frills Canada,"Boneless Skinless Chicken Breasts, Raised on Canadian Farms",https://www.nofrills.ca/en/boneless-skinless-chicken-breasts-raised-on-canadi/p/20568928_EA,401 g,401.0,g,14.0,$3.49/100g,3.49,100g,False,,,,,,,meat,chicken_breast,chicken_breast_boneless,whole,boneless|skinless,100g,3.4912718204488775,,
2026-09-18,chicken breast,Walmart Canada,"Maple Leaf Boneless Skinless Chicken Breasts, 6-7 pc, 1.23 - 1.60 KG",https://www.walmart.ca/en/ip/maple-leaf-boneless-skinless-chicken-breasts/3Z4HSOD28G07,1.23 - 1.60 KG,,kg,17.91,$1.27/100g,1.27,100g,True,,,,,,,meat,chicken_breast,chicken_breast_boneless,whole,boneless|skinless,100g,1.27,,
2026-09-18,chicken breast,Walmart Canada,"Maple Leaf Boneless Skinless Chicken Breasts, 3 - 5 pc, 0.70 - 0.94 KG",https://www.walmart.ca/en/ip/maple-leaf-boneless-skinless-chicken-breasts/7J1VBG2FE9XL,0.70 - 0.94 KG,,kg,10.61,$1.29/100g,1.29,100g,True,,,,,,,meat,chicken_breast,chicken_breast_boneless,whole,boneless|skinless,100g,1.29,,
2026-09-18,chicken breast,Walmart Canada,"Mina Halal Boneless Skinless Chicken Breasts, 3 - 5 pc, 0.76 - 0.97 KG",https://www.walmart.ca/en/ip/mina-halal-boneless-skinless-chicken-breasts/51S95NEK115W,0.76 - 0.97 KG,,kg,11.64,$1.35/100g,1.35,100g,True,,,,,,,meat,chicken_breast,chicken_breast_boneless,whole,halal|boneless|skinless,100g,1.35,,
2026-09-18,chicken breast,Walmart Canada,"Prime Boneless Skinless Chicken Breasts Raised Without Antibiotics, 2 -3 pc, 0.53 - 0.69 KG",https://www.walmart.ca/en/ip/prime-boneless-skinless-chicken-breasts-raised-without-antibiotics/3VLCAVLWS55J,0.53 - 0.69 KG,,kg,8.53,$1.40/100g,1.4,100g,True,Rollback,8.53,9.99,,,,meat,chicken_breast,chicken_breast_boneless,whole,boneless|skinless|raised_without_antibiotics,100g,1.4,,
2026-09-18,chicken breast,Walmart Canada,"Prime Boneless Skinless Chicken Breasts Raised Without Antibiotics, 6-7 pc, 1.23 - 1.60 KG",https://www.walmart.ca/en/ip/prime-boneless-skinless-chicken-breasts-raised-without-antibiotics/6R6I4P26OOYP,1.23 - 1.60 KG,,kg,20.98,$1.48/100g,1.48,100g,True,,,,,,,meat,chicken_breast,chicken_breast_boneless,whole,boneless|skinless|raised_without_antibiotics,100g,1.48,,
2026-09-18,chicken breast,Walmart Canada,"Prime Sliced Boneless Skinless Chicken Breasts Raised Without Antibiotics, 5 pc, 0.44 - 0.57 KG",https://www.walmart.ca/en/ip/prime-sliced-boneless-skinless-chicken-breasts-raised-without-antibiotics/5ZNK7UZUJBXG,0.44 - 0.57 KG,,kg,13.93,$2.76/100g,2.76,100g,True,,,,,,,meat,chicken_breast,chicken_breast_boneless,sliced,boneless|skinless|raised_without_antibiotics,100g,2.76,,
2026-09-18,chicken breast,Walmart Canada,"Prime Boneless Skinless Chicken Breasts Organic, 2 pc, 0.44 - 0.55 KG",https://www.walmart.ca/en/ip/prime-boneless-skinless-chicken-breasts-organic/6DC4X9YA6ZAG,0.44 - 0.55 KG,,kg,14.62,$2.95/100g,2.95,100g,True,,,,,,,meat,chicken_breast,chicken_breast_boneless,whole,organic|boneless|skinless,100g,2.95,,
2026-09-19,chicken breast,Food Basics Canada,Diced Chicken Breast,https://www.foodbasics.ca/aisles/meat-poultry/chicken-turkey/breasts/diced-chicken-breast/p/247794,,,,21.15,$35.25 /kg$15.99 /lb.,35.25,kg,True,,,,,,,meat,chicken_breast,chicken_breast_diced,diced,,100g,3.5249999999999995,,
2026-09-18,chicken breast,Walmart Canada,"GV Fully Cooked Chicken Breast Strips, 700g",https://www.walmart.ca/en/ip/GV-Fully-Cooked-Chicken-Breast-Strips-700g/3Q7PL6AXT7AD,700g,700.0,g,9.98,$1.43/100g,1.43,100g,False,,,,,,,meat,chicken_breast,chicken_breast_strips,strips,,100g,1.4257142857142855,,
2026-09-19,cheese,Food Basics Canada,"1% Cottage Cheese, Nordica",https://www.foodbasics.ca/aisles/dairy-eggs/packaged-cheese/cottage-cheese-ricotta/1-cottage-cheese/p/066013153669,500 g,500.0,g,5.49,$1.10 /100g,1.1,100g,False,,,,,,,dairy,cheese,cottage_cheese,unspecified,,100g,1.098,,
2026-09-19,pasta,Food Basics Canada,Fusilli Pasta,https://www.foodbasics.ca/aisles/pantry/pasta-rice-beans/pasta/fusilli-pasta/p/059749893152,900 g,900.0,g,1.97,$0.22 /100g,0.22,100g,False,,,,,,,pantry,pasta,dry_pasta,dry,,100g,0.2188888888888888,,
2026-09-19,pasta,Food Basics Canada,Penne Pasta,https://www.foodbasics.ca/aisles/pantry/pasta-rice-beans/pasta/penne-pasta/p/059749969758,900 g,900.0,g,1.97,$0.22 /100g,0.22,100g,False,,,,,,,pantry,pasta,dry_pasta,dry,,100g,0.2188888888888888,,
2026-09-19,pasta,Food Basics Canada,Pennine Rigate Pasta,https://www.foodbasics.ca/aisles/pantry/pasta-rice-beans/pasta/pennine-rigate-pasta/p/059749893114,900 g,900.0,g,1.97,$0.22 /100g,0.22,100g,False,,,,,,,pantry,pasta,dry_pasta,dry,,100g,0.2188888888888888,,
2026-09-19,pasta,Food Basics Canada,Rotini Pasta,https://www.foodbasics.ca/aisles/pantry/pasta-rice-beans/pasta/rotini-pasta/p/059749893138,900 g,900.0,g,1.97,$0.22 /100g,0.22,100g,False,,,,,,,pantry,pasta,dry_pasta,dry,,100g,0.2188888888888888,,
2026-09-19,pasta,Food Basics Canada,Fusilli Pasta,https://www.foodbasics.ca/aisles/pantry/pasta-rice-beans/pasta/fusilli-pasta/p/055900001244,900 g,900.0,g,1.99,$0.22 /100g,0.22,100g,False,sale,1.99,2.49,,,,pantry,pasta,dry_pasta,dry,,100g,0.2211111111111111,,
2026-09-19,pasta,Food Basics Canada,Large Shell Pasta,https://www.foodbasics.ca/aisles/pantry/canned-jarred/pasta-pasta-sauces/large-shell-pasta/p/055900001268,900 g,900.0,g,1.99,$0.22 /100g,0.22,100g,False,sale,1.99,2.49,,,,pantry,pasta,dry_pasta,dry,,100g,0.2211111111111111,,
2026-09-19,pasta,Food Basics Canada,Spaghetti Pasta,https://www.foodbasics.ca/aisles/pantry/pasta-rice-beans/pasta/spaghetti-pasta/p/055900001022,900 g,900.0,g,1.99,$0.22 /100g,0.22,100g,False,sale,1.99,2.49,,,,pantry,pasta,dry_pasta,dry,,100g,0.2211111111111111,,
2026-09-19,pasta,Food Basics Canada,Farfalle Pasta,https://www.foodbasics.ca/aisles/pantry/pasta-rice-beans/pasta/farfalle-pasta/p/076808011128,410 g,410.0,g,1.99,$0.49 /100g,0.49,100g,False,sale,1.99,2.79,,,,pantry,pasta,dry_pasta,dry,,100g,0.4853658536585366,,
2026-09-19,pasta,Food Basics Canada,Rigatoni Pasta,https://www.foodbasics.ca/aisles/pantry/pasta-rice-beans/pasta/rigatoni-pasta/p/076808011111,410 g,410.0,g,1.99,$0.49 /100g,0.49,100g,False,sale,1.99,2.79,,,,pantry,pasta,dry_pasta,dry,,100g,0.4853658536585366,,
2026-09-19,pasta,Food Basics Canada,Fusilli Pasta,https://www.foodbasics.ca/aisles/pantry/pasta-rice-beans/pasta/fusilli-pasta/p/779921000283,450 g,450.0,g,2.49,$0.55 /100g,0.55,100g,False,sale,2.49,2.99,,,,pantry,pasta,dry_pasta,dry,,100g,0.5533333333333333,,
2026-09-19,pasta,Food Basics Canada,"Penne Pasta, Garden Select",https://www.foodbasics.ca/aisles/pantry/pasta-rice-beans/pasta/penne-pasta/p/064200130721,340 g,340.0,g,2.99,$0.88 /100g,0.88,100g,False,sale,2.99,3.99,,,,pantry,pasta,dry_pasta,dry,,100g,0.8794117647058823,,
2026-09-19,pasta,Food Basics Canada,"Spaghetti Pasta, Garden Select",https://www.foodbasics.ca/aisles/pantry/pasta-rice-beans/pasta/spaghetti-pasta/p/064200130714,340 g,340.0,g,2.99,$0.88 /100g,0.88,100g,False,sale,2.99,3.99,,,,pantry,pasta,dry_pasta,dry,,100g,0.8794117647058823,,
2026-09-19,pasta,No Frills Canada,Cavatappi,https://www.nofrills.ca/en/cavatappi/p/20315613009_EA,900 g,900.0,g,2.0,$0.22/100g,0.22,100g,False,,,,,,,pantry,pasta,dry_pasta,dry,,100g,0.2222222222222222,,
2026-09-19,pasta,No Frills Canada,Elbow Macaroni,https://www.nofrills.ca/en/elbow-macaroni/p/20315613003_EA,900 g,900.0,g,2.0,$0.22/100g,0.22,100g,False,,,,,,,pantry,pasta,dry_pasta,dry,,100g,0.2222222222222222,,
2026-09-19,pasta,No Frills Canada,Penne Rigate Pasta,https://www.nofrills.ca/en/penne-rigate-pasta/p/20315613006_EA,900 g,900.0,g,2.0,$0.22/100g,0.22,100g,False,,,,,,,pantry,pasta,dry_pasta,dry,,100g,0.2222222222222222,,
2026-09-19,pasta,No Frills Canada,Rotini,https://www.nofrills.ca/en/rotini/p/20315613004_EA,900 g,900.0,g,2.0,$0.22/100g,0.22,100g,False,,,,,,,pantry,pasta,dry_pasta,dry,,100g,0.2222222222222222,,
2026-09-19,pasta,No Frills Canada,Spaghetti,https://www.nofrills.ca/en/spaghetti/p/20315613002_EA,900 g,900.0,g,2.0,$0.22/100g,0.22,100g,False,,,,,,,pantry,pasta,dry_pasta,dry,,100g,0.2222222222222222,,
2026-09-19,pasta,No Frills Canada,Conchiglie Pasta,https://www.nofrills.ca/en/conchiglie-pasta/p/21404961_EA,410 g,410.0,g,2.5,$0.61/100g,0.61,100g,False,,,,,,,pantry,pasta,dry_pasta,dry,,100g,0.6097560975609756,,
2026-09-19,pasta,No Frills Canada,Farfalle Pasta,https://www.nofrills.ca/en/farfalle-pasta/p/21404904_EA,410 g,410.0,g,2.5,$0.61/100g,0.61,100g,False,,,,,,,pantry,pasta,dry_pasta,dry,,100g,0.6097560975609756,,
2026-09-19,pasta,No Frills Canada,Penne Rigate Pasta,https://www.nofrills.ca/en/penne-rigate-pasta/p/21550231_EA,410 g,410.0,g,2.5,$0.61/100g,0.61,100g,False,,,,,,,pantry,pasta,dry_pasta,dry,,100g,0.6097560975609756,,
2026-09-19,pasta,No Frills Canada,Rotini Pasta,https://www.nofrills.ca/en/rotini-pasta/p/21404963_EA,410 g,410.0,g,2.5,$0.61/100g,0.61,100g,False,,,,,,,pantry,pasta,dry_pasta,dry,,100g,0.6097560975609756,,
2026-09-19,pasta,No Frills Canada,Cellentani Pasta,https://www.nofrills.ca/en/cellentani-pasta/p/21593622_EA,340 g,340.0,g,2.5,$7.35/100g,7.35,100g,False,,,,,,,pantry,pasta,dry_pasta,dry,,100g,0.7352941176470588,Listed unit price differs from the package-derived price by 10.00x; package-derived normalization was retained.,
2026-09-18,pasta,Walmart Canada,Great Value Macaroni Pasta,https://www.walmart.ca/en/ip/Great-Value-Macaroni-Pasta/2V1OHHHOK93T,,,,1.97,22¢/100g,0.22,100g,False,,,,,,,pantry,pasta,dry_pasta,dry,,100g,0.22,,
2026-09-18,pasta,Walmart Canada,Great Value Rigatoni Pasta,https://www.walmart.ca/en/ip/Great-Value-Rigatoni-Pasta/26ATIIIY0XYD,,,,1.97,22¢/100g,0.22,100g,False,,,,,,,pantry,pasta,dry_pasta,dry,,100g,0.22,,
2026-09-18,pasta,Walmart Canada,Fiorfiore bronze dyed 12.5% proteins Farfalle Pasta,https://www.walmart.ca/en/ip/Fiorfiore-bronze-dyed-12-5-proteins-Farfalle-Pasta/6000200626392,,,,1.97,39¢/100g,0.39,100g,False,,,,,,,pantry,pasta,dry_pasta,dry,,100g,0.39,,
2026-09-18,pasta,Walmart Canada,Fiorfiore bronze dyed 12.5% proteins Lumaconi Pasta,https://www.walmart.ca/en/ip/Fiorfiore-bronze-dyed-12-5-proteins-Lumaconi-Pasta/6000200626641,,,,1.97,39¢/100g,0.39,100g,False,,,,,,,pantry,pasta,dry_pasta,dry,,100g,0.39,,
2026-09-18,pasta,Walmart Canada,Fiorfiore Pasta Rotini 500G,https://www.walmart.ca/en/ip/Fiorfiore-Pasta-Rotini-500G/0ZYAS28G7WYS,500G,500.0,g,1.97,39¢/100g,0.39,100g,False,,,,,,,pantry,pasta,dry_pasta,dry,,100g,0.394,,
2026-09-18,pasta,Walmart Canada,Barilla Penne Rigate Pasta,https://www.walmart.ca/en/ip/Barilla-Penne-Rigate-Pasta/6000203462933,,,,2.44,60¢/100g,0.6,100g,False,,,,,,,pantry,pasta,dry_pasta,dry,,100g,0.6,,
2026-09-18,pasta,Walmart Canada,Barilla Rotini Pasta,https://www.walmart.ca/en/ip/Barilla-Rotini-Pasta/6000203462912,,,,2.44,60¢/100g,0.6,100g,False,,,,,,,pantry,pasta,dry_pasta,dry,,100g,0.6,,
2026-09-18,pasta,Walmart Canada,Barilla Cellentani Pasta,https://www.walmart.ca/en/ip/Barilla-Cellentani-Pasta/3PGQPH07TCZQ,,,,2.44,72¢/100g,0.72,100g,False,,,,,,,pantry,pasta,dry_pasta,dry,,100g,0.72,,
2026-09-19,eggs,Food Basics Canada,Extra Large Eggs,https://www.foodbasics.ca/aisles/dairy-eggs/eggs/whole-eggs/extra-large-eggs/p/059749896061,12 un,12.0,count,4.69,$0.39 /un.,0.39,1unit,False,,,,,,,dairy,eggs,extra_large_eggs,shell,,1unit,0.3908333333333333,,
