date_observed,search_term,store,product_title,product_url,package_size_text,package_size,package_unit,displayed_price,unit_price_text,listed_unit_price,listed_unit,is_variable_weight,sale_status,sale_price,regular_price,category,product_family,comparison_group,product_form,attributes,standardized_unit,price_per_standard_unit,data_quality_warning,normalization_error
2026-09-19,bananas,No Frills Canada,"Bananas, Bunch",https://www.nofrills.ca/en/bananas-bunch/p/20175355001_KG,,,,1.75,$1.52/1kg $0.69/1lb,1.52,kg,True,,,,produce,bananas,fresh_bananas,loose,,100g,0.152,,
2026-09-19,bananas,No Frills Canada,Gerber Stage 3 Multigrain Yogurt Apple Pear Banana Baby Cereal,https://www.nofrills.ca/en/gerber-stage-3-multigrain-yogurt-apple-pear-banana/p/20358339002_EA,227 g,227.0,g,4.5,$1.98/100g,1.98,100g,False,,,,unknown,unknown,unsupported,unknown,,100g,1.9823788546255507,,
2026-09-19,bananas,No Frills Canada,"Gerber Puffs, Banana Flavour, Snack for Babies 8 Mo & Up",https://www.nofrills.ca/en/gerber-puffs-banana-flavour-snack-for-babies-8-mo/p/20304618002_EA,42 g,42.0,g,3.0,$7.14/100g,7.14,100g,False,,,,unknown,unknown,unsupported,unknown,,100g,7.142857142857142,,
2026-09-19,bananas,No Frills Canada,"Organic Bananas, Bunch",https://www.nofrills.ca/en/organic-bananas-bunch/p/20139509001_KG,,,,2.64,$2.40/1kg $1.09/1lb,2.4,kg,True,,,,produce,bananas,fresh_bananas,loose,organic,100g,0.24,,
2026-09-19,bananas,No Frills Canada,Gerber Stage 2 Wheat Banana Strawberry Baby Cereal,https://www.nofrills.ca/en/gerber-stage-2-wheat-banana-strawberry-baby-cereal/p/20962127_EA,227 g,227.0,g,4.5,$1.98/100g,1.98,100g,False,,,,unknown,unknown,unsupported,unknown,,100g,1.9823788546255507,,
2026-09-19,bananas,No Frills Canada,Green Cooking Bananas,https://www.nofrills.ca/en/green-cooking-bananas/p/20077385001_KG,,,,1.79,$1.74/1kg $0.79/1lb,1.74,kg,True,,,,produce,bananas,cooking_bananas,loose,,100g,0.174,,
2026-09-19,bananas,No Frills Canada,"Gerber Organic Wheat & Wholegrain Oat Banana, Baby Cereal",https://www.nofrills.ca/en/gerber-organic-wheat-wholegrain-oat-banana-baby-ce/p/21121781_EA,208 g,208.0,g,5.99,$2.88/100g,2.88,100g,False,,,,unknown,unknown,unsupported,unknown,,100g,2.879807692307692,,
2026-09-19,bananas,No Frills Canada,"Plantains, Single",https://www.nofrills.ca/en/plantains-single/p/20111926001_KG,,,,1.23,$3.73/1kg $1.69/1lb,3.73,kg,True,,,,produce,plantains,fresh_plantains,loose,,100g,0.373,,
2026-09-19,bananas,No Frills Canada,Gerber Stage 2 Rice Banana Baby Cereal,https://www.nofrills.ca/en/gerber-stage-2-rice-banana-baby-cereal/p/20574110001_EA,227 g,227.0,g,4.5,$1.98/100g,1.98,100g,False,,,,unknown,unknown,unsupported,unknown,,100g,1.9823788546255507,,
2026-09-19,bananas,No Frills Canada,Banana - Sliced,https://www.nofrills.ca/en/banana-sliced/p/21289947_EA,600 g,600.0,g,5.5,$0.92/100g,0.92,100g,False,,,,unknown,unknown,unsupported,unknown,,100g,0.9166666666666666,,
2026-09-19,bananas,No Frills Canada,Gerber Organic Wheat & Wholegrain Oatmeal Banana Raspberry Cereal,https://www.nofrills.ca/en/gerber-organic-wheat-wholegrain-oatmeal-banana-ras/p/21181661_EA,208 g,208.0,g,5.99,$2.88/100g,2.88,100g,False,,,,unknown,unknown,unsupported,unknown,,100g,2.879807692307692,,
2026-09-19,pasta,No Frills Canada,White Cheddar Macaroni & Cheese,https://www.nofrills.ca/en/white-cheddar-macaroni-cheese/p/21549555_EA,175 g,175.0,g,2.29,$1.31/100g,1.31,100g,False,,,,unknown,unknown,unsupported,unknown,,100g,1.3085714285714285,,
2026-09-19,pasta,No Frills Canada,Rotini,https://www.nofrills.ca/en/rotini/p/20315613004_EA,900 g,900.0,g,2.0,$0.22/100g,0.22,100g,False,,,,pantry,pasta,dry_pasta,dry,,100g,0.2222222222222222,,
2026-09-19,pasta,No Frills Canada,Farfalle Pasta,https://www.nofrills.ca/en/farfalle-pasta/p/21404904_EA,410 g,410.0,g,2.5,$0.61/100g,0.61,100g,False,,,,pantry,pasta,dry_pasta,dry,,100g,0.6097560975609756,,
2026-09-19,pasta,No Frills Canada,Cellentani Pasta,https://www.nofrills.ca/en/cellentani-pasta/p/21593622_EA,340 g,340.0,g,2.5,$7.35/100g,7.35,100g,False,,,,pantry,pasta,dry_pasta,dry,,100g,0.7352941176470588,Listed unit price differs from the package-derived price by 10.00x; package-derived normalization was retained.,
2026-09-19,pasta,No Frills Canada,Cavatappi,https://www.nofrills.ca/en/cavatappi/p/20315613009_EA,900 g,900.0,g,2.0,$0.22/100g,0.22,100g,False,,,,pantry,pasta,dry_pasta,dry,,100g,0.2222222222222222,,
2026-09-19,pasta,No Frills Canada,Penne Rigate Pasta,https://www.nofrills.ca/en/penne-rigate-pasta/p/20315613006_EA,900 g,900.0,g,2.0,$0.22/100g,0.22,100g,False,,,,pantry,pasta,dry_pasta,dry,,100g,0.2222222222222222,,
2026-09-19,pasta,No Frills Canada,Rotini Pasta,https://www.nofrills.ca/en/rotini-pasta/p/21404963_EA,410 g,410.0,g,2.5,$0.61/100g,0.61,100g,False,,,,pantry,pasta,dry_pasta,dry,,100g,0.6097560975609756,,
2026-09-19,pasta,No Frills Canada,Conchiglie Pasta,https://www.nofrills.ca/en/conchiglie-pasta/p/21404961_EA,410 g,410.0,g,2.5,$0.61/100g,0.61,100g,False,,,,pantry,pasta,dry_pasta,dry,,100g,0.6097560975609756,,
2026-09-19,pasta,No Frills Canada,Elbow Macaroni,https://www.nofrills.ca/en/elbow-macaroni/p/20315613003_EA,900 g,900.0,g,2.0,$0.22/100g,0.22,100g,False,,,,pantry,pasta,dry_pasta,dry,,100g,0.2222222222222222,,
2026-09-19,pasta,No Frills Canada,Spaghetti,https://www.nofrills.ca/en/spaghetti/p/20315613002_EA,900 g,900.0,g,2.0,$0.22/100g,0.22,100g,False,,,,pantry,pasta,dry_pasta,dry,,100g,0.2222222222222222,,
2026-09-19,pasta,No Frills Canada,Penne Rigate Pasta,https://www.nofrills.ca/en/penne-rigate-pasta/p/21550231_EA,410 g,410.0,g,2.5,$0.61/100g,0.61,100g,False,,,,pantry,pasta,dry_pasta,dry,,100g,0.6097560975609756,,
2026-09-19,pasta,No Frills Canada,Dairy Free Mozzarella Cheese Shreds,https://www.nofrills.ca/en/dairy-free-mozzarella-cheese-shreds/p/21591969_EA,200 g,200.0,g,6.0,$3.00/100g,3.0,100g,False,,,,unknown,unknown,unsupported,shredded,dairy_free,100g,3.0,,
2026-09-19,bread,No Frills Canada,Sourdough Bistro,https://www.nofrills.ca/en/sourdough-bistro/p/21616156_EA,595 g,595.0,g,5.0,$0.84/100g,0.84,100g,False,,,,bakery,bread,artisan_bread,loaf,,100g,0.8403361344537815,,
2026-09-19,bread,No Frills Canada,14 Grain Bread,https://www.nofrills.ca/en/14-grain-bread/p/21178642_EA,600 g,600.0,g,4.0,$0.67/100g,0.67,100g,False,,,,bakery,bread,sliced_bread,sliced_loaf,,100g,0.6666666666666667,,
2026-09-19,bread,No Frills Canada,Classic White Bistro,https://www.nofrills.ca/en/classic-white-bistro/p/21616092_EA,595 g,595.0,g,5.0,$0.84/100g,0.84,100g,False,,,,bakery,bread,artisan_bread,loaf,,100g,0.8403361344537815,,
2026-09-19,bread,No Frills Canada,Pane Rustico,https://www.nofrills.ca/en/pane-rustico/p/21616182_EA,700 g,700.0,g,5.0,$0.71/100g,0.71,100g,False,,,,bakery,bread,artisan_bread,loaf,,100g,0.7142857142857143,,
2026-09-19,bread,No Frills Canada,Whole Grain & Protein Blend Bread,https://www.nofrills.ca/en/whole-grain-protein-blend-bread/p/21429067_EA,600 g,600.0,g,4.0,$0.67/100g,0.67,100g,False,,,,bakery,bread,sliced_bread,sliced_loaf,whole_wheat,100g,0.6666666666666667,,
2026-09-19,bread,No Frills Canada,Thick Slice Original White Bread,https://www.nofrills.ca/en/thick-slice-original-white-bread/p/20038335_EA,675 g,675.0,g,4.0,$0.59/100g,0.59,100g,False,,,,bakery,bread,sliced_bread,sliced_loaf,,100g,0.5925925925925926,,
2026-09-19,bread,No Frills Canada,14 Grains & Protein Sliced Bread,https://www.nofrills.ca/en/14-grains-protein-sliced-bread/p/21693323_EA,600 g,600.0,g,4.0,$0.67/100g,0.67,100g,False,,,,bakery,bread,sliced_bread,sliced_loaf,,100g,0.6666666666666667,,
2026-09-19,bread,No Frills Canada,Thick Slice 100% Whole Wheat Bread,https://www.nofrills.ca/en/thick-slice-100-whole-wheat-bread/p/20322326_EA,675 g,675.0,g,4.0,$0.59/100g,0.59,100g,False,,,,bakery,bread,sliced_bread,sliced_loaf,whole_wheat,100g,0.5925925925925926,,
2026-09-19,bread,No Frills Canada,White Bread,https://www.nofrills.ca/en/white-bread/p/20276296_EA,675 g,675.0,g,2.5,$0.37/100g,0.37,100g,False,,,,bakery,bread,sliced_bread,sliced_loaf,,100g,0.3703703703703704,,
2026-09-19,bread,No Frills Canada,100% Whole Wheat Bread,https://www.nofrills.ca/en/100-whole-wheat-bread/p/21509877_EA,675 g,675.0,g,2.48,$0.37/100g,0.37,100g,False,,,,bakery,bread,sliced_bread,sliced_loaf,whole_wheat,100g,0.3674074074074074,,
2026-09-19,bread,No Frills Canada,Original Bread,https://www.nofrills.ca/en/original-bread/p/21509822_EA,675 g,675.0,g,2.48,$0.37/100g,0.37,100g,False,,,,bakery,bread,sliced_bread,sliced_loaf,,100g,0.3674074074074074,,
2026-09-19,bread,No Frills Canada,Italiano Natural Shredded Cheese,https://www.nofrills.ca/en/italiano-natural-shredded-cheese/p/21603918_EA,320 g,320.0,g,4.99,$1.56/100g,1.56,100g,False,SALE,4.99,6.0,dairy,cheese,cheese_unspecified_type,shredded,,100g,1.559375,,
2026-09-19,cheese,No Frills Canada,Fresh Mozzarella Slice Ball,https://www.nofrills.ca/en/fresh-mozzarella-slice-ball/p/21547229_EA,227 g,227.0,g,6.99,$3.08/100g,3.08,100g,False,,,,dairy,cheese,mozzarella_cheese,ball,,100g,3.079295154185022,,
2026-09-19,cheese,No Frills Canada,Marble Farmer's Cheese,https://www.nofrills.ca/en/marble-farmer-s-cheese/p/20975773_EA,700 g,700.0,g,10.0,$1.43/100g,1.43,100g,False,,,,dairy,cheese,marble_cheese,unspecified,,100g,1.4285714285714286,,
2026-09-19,cheese,No Frills Canada,Dairy Free Mature Cheddar Cheese Slices,https://www.nofrills.ca/en/dairy-free-mature-cheddar-cheese-slices/p/21339319_EA,200 g,200.0,g,6.29,$3.15/100g,3.15,100g,False,,,,unknown,unknown,unsupported,sliced,dairy_free,100g,3.145,,
2026-09-19,cheese,No Frills Canada,Dairy Free Mozzarella Cheese Shreds,https://www.nofrills.ca/en/dairy-free-mozzarella-cheese-shreds/p/21591969_EA,200 g,200.0,g,6.0,$3.00/100g,3.0,100g,False,,,,unknown,unknown,unsupported,shredded,dairy_free,100g,3.0,,
2026-09-19,cheese,No Frills Canada,Triple Cheddar Shredded Cheese Blend,https://www.nofrills.ca/en/triple-cheddar-shredded-cheese-blend/p/21060183_EA,320 g,320.0,g,4.99,$1.56/100g,1.56,100g,False,SALE,4.99,6.0,dairy,cheese,cheddar_cheese,shredded,,100g,1.559375,,
2026-09-19,cheese,No Frills Canada,Dairy Free Smoked Provolone Slices,https://www.nofrills.ca/en/dairy-free-smoked-provolone-slices/p/21339317_EA,200 g,200.0,g,6.29,$3.15/100g,3.15,100g,False,,,,unknown,unknown,unsupported,unknown,,100g,3.145,,
2026-09-19,cheese,No Frills Canada,Marble Farmer's Cheese,https://www.nofrills.ca/en/marble-farmer-s-cheese/p/21289745_EA,400 g,400.0,g,5.99,$1.50/100g,1.5,100g,False,,,,dairy,cheese,marble_cheese,unspecified,,100g,1.4975,,
2026-09-19,cheese,No Frills Canada,Dairy Free Cheddar Cheese Slices,https://www.nofrills.ca/en/dairy-free-cheddar-cheese-slices/p/21339330_EA,200 g,200.0,g,6.29,$3.15/100g,3.15,100g,False,,,,unknown,unknown,unsupported,sliced,dairy_free,100g,3.145,,
2026-09-19,cheese,No Frills Canada,Old Cheddar Cheese,https://www.nofrills.ca/en/old-cheddar-cheese/p/20975873_EA,700 g,700.0,g,10.0,$1.43/100g,1.43,100g,False,,,,dairy,cheese,cheddar_cheese,unspecified,,100g,1.4285714285714286,,
2026-09-19,cheese,No Frills Canada,Dairy Free Cheddar Cheese Shreds,https://www.nofrills.ca/en/dairy-free-cheddar-cheese-shreds/p/21592030_EA,200 g,200.0,g,6.0,$3.00/100g,3.0,100g,False,,,,unknown,unknown,unsupported,shredded,dairy_free,100g,3.0,,
2026-09-19,cheese,No Frills Canada,Marble Cheese Slices,https://www.nofrills.ca/en/marble-cheese-slices/p/21290705_EA,240 g,240.0,g,4.77,$1.99/100g,1.99,100g,False,,,,dairy,cheese,marble_cheese,sliced,,100g,1.9874999999999996,,
2026-09-19,cheese,No Frills Canada,Nibblers Original Natural Cheese Snacks,https://www.nofrills.ca/en/nibblers-original-natural-cheese-snacks/p/21539032_EA,200 g,200.0,g,5.0,$2.50/100g,2.5,100g,False,,,,dairy,cheese,cheese_unspecified_type,unspecified,,100g,2.5,,
