date_observed,search_term,store,product_title,product_url,package_size_text,package_size,package_unit,displayed_price,unit_price_text,listed_unit_price,listed_unit,is_variable_weight,sale_status,sale_price,regular_price,multi_buy_quantity,multi_buy_unit_price,single_item_price,category,product_family,comparison_group,product_form,attributes,standardized_unit,price_per_standard_unit,data_quality_warning,normalization_error
2026-09-19,chicken breast,Food Basics Canada,"Chicken Breast Souvlaki, Value Pack",https://www.foodbasics.ca/aisles/meat-poultry/marinated-prepared-meat/kabob/chicken-breast-souvlaki/p/627907159251,480 g - 8 souvlakis,480.0,g,14.49,$3.02 /100g,3.02,100g,False,,,,,,,unknown,unknown,unsupported,unknown,,100g,3.01875,,
2026-09-19,chicken breast,Food Basics Canada,Cooked Chicken Breast,https://www.foodbasics.ca/aisles/deli-prepared-meals/deli-meats/turkey-chicken/cooked-chicken-breast/p/069401074164,300 g,300.0,g,6.49,$2.16 /100g,2.16,100g,False,,,,,,,unknown,unknown,unsupported,unknown,,100g,2.1633333333333336,,
2026-09-19,eggs,Food Basics Canada,Large Eggs,https://www.foodbasics.ca/aisles/dairy-eggs/eggs/whole-eggs/large-eggs/p/059749896078,18 un,18.0,count,5.92,$0.33 /un.,0.33,1unit,False,,,,,,,dairy,eggs,large_eggs,shell,,1unit,0.3288888888888889,,
2026-09-19,eggs,Food Basics Canada,Large Eggs,https://www.foodbasics.ca/aisles/dairy-eggs/eggs/whole-eggs/large-eggs/p/059749896054,12 un,12.0,count,3.99,$0.33 /un.,0.33,1unit,False,,,,,,,dairy,eggs,large_eggs,shell,,1unit,0.3325,,
2026-09-19,eggs,Food Basics Canada,"Large Eggs, Value Pack",https://www.foodbasics.ca/aisles/dairy-eggs/eggs/whole-eggs/large-eggs/p/059749976879,30 un,30.0,count,9.59,$0.32 /un.,0.32,1unit,False,,,,,,,dairy,eggs,large_eggs,shell,,1unit,0.31966666666666665,,
2026-09-19,eggs,Food Basics Canada,Medium Eggs,https://www.foodbasics.ca/aisles/dairy-eggs/eggs/whole-eggs/medium-eggs/p/059749896047,12 un,12.0,count,3.79,$0.32 /un.,0.32,1unit,False,,,,,,,dairy,eggs,medium_eggs,shell,,1unit,0.31583333333333335,,
2026-09-19,eggs,Food Basics Canada,Extra Large Eggs,https://www.foodbasics.ca/aisles/dairy-eggs/eggs/whole-eggs/extra-large-eggs/p/059749896061,12 un,12.0,count,4.69,$0.39 /un.,0.39,1unit,False,,,,,,,dairy,eggs,extra_large_eggs,shell,,1unit,0.39083333333333337,,
2026-09-19,eggs,Food Basics Canada,"Large Organic Brown Eggs, Free-Range",https://www.foodbasics.ca/aisles/dairy-eggs/eggs/whole-eggs/large-organic-brown-eggs/p/059749976817,12 un,12.0,count,7.99,$0.67 /un.,0.67,1unit,False,,,,,,,dairy,eggs,large_eggs,shell,organic|free_range,1unit,0.6658333333333334,,
2026-09-19,eggs,Food Basics Canada,"Liquid Egg Whites, Naturalia",https://www.foodbasics.ca/aisles/dairy-eggs/eggs/liquid-eggs-egg-whites/liquid-egg-whites/p/059749983631,1 kg,1.0,kg,8.99,$0.90 /100g,0.9,100g,False,,,,,,,dairy,eggs,liquid_egg_product,liquid,,100g,,,"Incompatible comparison unit for liquid_egg_product: expected 1L, found 100g."
2026-09-19,eggs,Food Basics Canada,"Large Free-Run Eggs, Naturalia",https://www.foodbasics.ca/aisles/dairy-eggs/eggs/whole-eggs/large-free-run-eggs/p/059749992206,12 un,12.0,count,6.09,$0.51 /un.,0.51,1unit,False,,,,,,,dairy,eggs,large_eggs,shell,free_run,1unit,0.5075,,
2026-09-19,eggs,Food Basics Canada,"Hard Boiled Peeled Eggs, Eggs2go!",https://www.foodbasics.ca/aisles/dairy-eggs/eggs/whole-eggs/hard-boiled-peeled-eggs/p/065651024232,264 g,264.0,g,4.49,$1.70 /100g,1.7,100g,False,sale,4.49,5.49,,,,unknown,unknown,unsupported,unknown,,100g,1.700757575757576,,
2026-09-19,eggs,Food Basics Canada,"Large Free-Run Eggs, Naturalia",https://www.foodbasics.ca/aisles/dairy-eggs/eggs/whole-eggs/large-free-run-eggs/p/059749992220,18 un,18.0,count,8.99,$0.50 /un.,0.5,1unit,False,,,,,,,dairy,eggs,large_eggs,shell,free_run,1unit,0.49944444444444447,,
2026-09-19,eggs,Food Basics Canada,"Large Free-Run Omega-3 Eggs, Naturalia",https://www.foodbasics.ca/aisles/dairy-eggs/eggs/whole-eggs/large-free-run-omega-3-eggs/p/059749992237,12 un,12.0,count,6.09,$6.09 /un.,6.09,1unit,False,,,,,,,dairy,eggs,large_eggs,shell,free_run|omega_3,1unit,0.5075,Listed unit price differs from the package-derived price by 12.00x; package-derived normalization was retained.,
2026-09-19,eggs,Food Basics Canada,Quail Eggs,https://www.foodbasics.ca/aisles/dairy-eggs/eggs/whole-eggs/quail-eggs/p/883084100701,18 un,18.0,count,3.49,$0.19 /un.,0.19,1unit,False,sale,3.49,3.99,,,,unknown,unknown,unsupported,unknown,,1unit,0.1938888888888889,,
2026-09-19,apples,Food Basics Canada,"Apple, Honeycrisp",https://www.foodbasics.ca/aisles/fruits-vegetables/fruits/apples-pears/apple/p/3283,Sold individually,,,1.4,$8.77 /kg$3.98 /lb.,8.77,kg,True,,,,,,,produce,apples,fresh_apples,loose,,100g,0.877,,
2026-09-19,apples,Food Basics Canada,"Apple, Cosmic Crisp",https://www.foodbasics.ca/aisles/fruits-vegetables/fruits/apples-pears/apple/p/3507,Sold individually,,,1.48,$6.57 /kg$2.98 /lb.,6.57,kg,True,,,,,,,produce,apples,fresh_apples,loose,,100g,0.657,,
2026-09-19,apples,Food Basics Canada,"Apple, McIntosh",https://www.foodbasics.ca/aisles/fruits-vegetables/fruits/apples-pears/apple/p/4152,Sold individually,,,0.93,$5.49 /kg$2.49 /lb.,5.49,kg,True,,,,,,,produce,apples,fresh_apples,loose,,100g,0.549,,
2026-09-19,apples,Food Basics Canada,"Apple, Golden Delicious",https://www.foodbasics.ca/aisles/fruits-vegetables/fruits/apples-pears/apple/p/4021,Sold individually,,,1.11,$6.35 /kg$2.88 /lb.,6.35,kg,True,,,,,,,produce,apples,fresh_apples,loose,,100g,0.635,,
2026-09-19,apples,Food Basics Canada,"Apple, Fuji",https://www.foodbasics.ca/aisles/fruits-vegetables/fruits/apples-pears/apple/p/4129,,,,1.05,$6.57 /kg$2.98 /lb.,6.57,kg,True,,,,,,,produce,apples,fresh_apples,loose,,100g,0.657,,
2026-09-19,apples,Food Basics Canada,"Apple, Red Delicious",https://www.foodbasics.ca/aisles/fruits-vegetables/fruits/apples-pears/apple/p/4015,Sold individually,,,1.21,$6.35 /kg$2.88 /lb.,6.35,kg,True,,,,,,,produce,apples,fresh_apples,loose,,100g,0.635,,
2026-09-19,apples,Food Basics Canada,"Apples, Paula Red",https://www.foodbasics.ca/aisles/fruits-vegetables/fruits/apples-pears/apples/p/033383443201,3 lb,3.0,lb,5.98,$0.44 /100g,0.44,100g,False,,,,,,,produce,apples,fresh_apples,bagged,,100g,0.43945477595518934,,
2026-09-19,apples,Food Basics Canada,"Apple, Mutsu",https://www.foodbasics.ca/aisles/fruits-vegetables/fruits/apples-pears/apple/p/4108,Sold individually,,,1.1,$5.49 /kg$2.49 /lb.,5.49,kg,True,,,,,,,produce,apples,fresh_apples,loose,,100g,0.549,,
2026-09-19,apples,Food Basics Canada,"Apple, Lobo",https://www.foodbasics.ca/aisles/fruits-vegetables/fruits/apples-pears/apple/p/4193,,,,0.71,$5.49 /kg$2.49 /lb.,5.49,kg,True,,,,,,,produce,apples,fresh_apples,loose,,100g,0.549,,
2026-09-19,apples,Food Basics Canada,"Bag of Apples, McIntosh",https://www.foodbasics.ca/aisles/fruits-vegetables/fruits/apples-pears/bag-of-apples/p/033383442891,3 lb,3.0,lb,2.98,$0.22 /100g,0.22,100g,False,sale,2.98,5.99,,,,produce,apples,fresh_apples,bagged,,100g,0.21899251377031173,,
2026-09-19,apples,Food Basics Canada,"Baked Apples Cookies, Bear Paws",https://www.foodbasics.ca/aisles/snacks/sweet-snacks-candy/cookies-cakes/baked-apples-cookies/p/063348008893,210 g,210.0,g,1.98,$0.94 /100g,0.94,100g,False,sale,1.98,3.99,,,,unknown,unknown,unsupported,unknown,,100g,0.9428571428571428,,
2026-09-19,apples,Food Basics Canada,"Apple Cinnamon Cereal, Value Pack",https://www.foodbasics.ca/aisles/pantry/cereals-spreads-syrups/family-cereals/apple-cinnamon-cereal/p/065633134188,778 g,778.0,g,6.99,$0.90 /100g,0.9,100g,False,,,,,,,unknown,unknown,unsupported,unknown,,100g,0.8984575835475579,,
2026-09-19,bananas,Food Basics Canada,Organic Banana,https://www.foodbasics.ca/aisles/fruits-vegetables/fruits/bananas-plantains/organic-banana/p/94011,,,,0.48,$2.54 /kg$1.15 /lb.,2.54,kg,True,,,,,,,produce,bananas,fresh_bananas,loose,organic,100g,0.254,,
2026-09-19,bananas,Food Basics Canada,Green banana,https://www.foodbasics.ca/aisles/fruits-vegetables/fruits/bananas-plantains/green-banana/p/4231,Sold individually,,,0.29,$1.52 /kg$0.69 /lb.,1.52,kg,True,,,,,,,produce,bananas,fresh_bananas,loose,,100g,0.152,,
2026-09-19,bananas,Food Basics Canada,Frozen Strawberries and Bananas,https://www.foodbasics.ca/aisles/frozen/fruit-vegetables/fruit/frozen-strawberries-and-bananas/p/059749983983,600 g,600.0,g,5.49,$0.92 /100g,0.92,100g,False,,,,,,,unknown,unknown,unsupported,unknown,,100g,0.915,,
2026-09-19,bananas,Food Basics Canada,2% Banana Greek Yogurt,https://www.foodbasics.ca/aisles/dairy-eggs/yogurt/greek-yogurts/2-banana-greek-yogurt/p/056800186246,4x100 g,400.0,g,3.99,$1.00 /100g,1.0,100g,False,sale,3.99,4.99,,,,unknown,unknown,unsupported,unknown,,100g,0.9975000000000002,,
2026-09-19,bananas,Food Basics Canada,Thai Banana,https://www.foodbasics.ca/aisles/fruits-vegetables/vegetables/exotic-vegetables/thai-banana/p/4238,,,,3.95,$3.95 /kg$1.79 /lb.,3.95,kg,True,,,,,,,produce,bananas,fresh_bananas,loose,,100g,0.395,,
2026-09-19,bananas,Food Basics Canada,Sliced Banana & Nut Cake,https://www.foodbasics.ca/aisles/bread-bakery-products/desserts-pastries/cakes/sliced-banana-nut-cake/p/059072052806,400 g,400.0,g,3.99,$1.00 /100g,1.0,100g,False,sale,3.99,4.99,,,,unknown,unknown,unsupported,unknown,,100g,0.9975000000000002,,
2026-09-19,bananas,Food Basics Canada,"Chocolate Chip Banana Muffins, Value Pack",https://www.foodbasics.ca/aisles/bread-bakery-products/muffins-bagels-baked-goods/muffins/chocolate-chip-banana-muffins/p/059749943413,6 un - 600 g,600.0,g,6.79,$1.13 /100g,1.13,100g,False,,,,,,,unknown,unknown,unsupported,unknown,,100g,1.1316666666666668,,
2026-09-19,bananas,Food Basics Canada,Banana Leaf,https://www.foodbasics.ca/aisles/fruits-vegetables/fruits/bananas-plantains/banana-leaf/p/4232,,,,0.66,$6.57 /kg$2.98 /lb.,6.57,kg,True,,,,,,,unknown,unknown,unsupported,unknown,,100g,0.657,,
2026-09-19,bananas,Food Basics Canada,Banana Bread Molasses Cookies,https://www.foodbasics.ca/aisles/snacks/sweet-snacks-candy/cookies-cakes/banana-bread-molasses-cookies/p/063348080905,490 g,490.0,g,6.99,$1.43 /100g,1.43,100g,False,,,,,,,unknown,unknown,unsupported,unknown,,100g,1.426530612244898,,
2026-09-19,bananas,Food Basics Canada,"Baby Cereals, Rice & Banana, Stage 2",https://www.foodbasics.ca/aisles/baby/food-formula/cereal/baby-cereals-rice-banana/p/065000138122,227 g,227.0,g,5.99,$0.03 /g,0.03,g,False,,,,,,,unknown,unknown,unsupported,unknown,,100g,2.6387665198237884,,
2026-09-19,bananas,Food Basics Canada,Strawberry and Banana Flavoured Smoothie,https://www.foodbasics.ca/aisles/beverages/juices-drinks/smoothies-nectars/strawberry-and-banana-flavoured-smoothie/p/071464270605,946 mL,946.0,ml,3.99,$0.42 /100ml,0.42,100ml,False,sale,3.99,6.99,,,,unknown,unknown,unsupported,unknown,,1L,4.217758985200846,,
2026-09-19,bananas,Food Basics Canada,"Oat Banana Mango Baby Cereal, Stage 3",https://www.foodbasics.ca/aisles/baby/food-formula/cereal/oat-banana-mango-baby-cereal/p/065000133615,227 g,227.0,g,5.99,$2.64 /100g,2.64,100g,False,,,,,,,unknown,unknown,unsupported,unknown,,100g,2.6387665198237884,,
2026-09-19,pasta,Food Basics Canada,Fusilli Pasta,https://www.foodbasics.ca/aisles/pantry/pasta-rice-beans/pasta/fusilli-pasta/p/059749893152,900 g,900.0,g,1.97,$0.22 /100g,0.22,100g,False,,,,,,,pantry,pasta,dry_pasta,dry,,100g,0.21888888888888886,,
2026-09-19,pasta,Food Basics Canada,Fusilli Pasta,https://www.foodbasics.ca/aisles/pantry/pasta-rice-beans/pasta/fusilli-pasta/p/055900001244,900 g,900.0,g,1.99,$0.22 /100g,0.22,100g,False,sale,1.99,2.49,,,,pantry,pasta,dry_pasta,dry,,100g,0.22111111111111112,,
2026-09-19,pasta,Food Basics Canada,Farfalle Pasta,https://www.foodbasics.ca/aisles/pantry/pasta-rice-beans/pasta/farfalle-pasta/p/076808011128,410 g,410.0,g,1.99,$0.49 /100g,0.49,100g,False,sale,1.99,2.79,,,,pantry,pasta,dry_pasta,dry,,100g,0.4853658536585366,,
2026-09-19,pasta,Food Basics Canada,Rigatoni Pasta,https://www.foodbasics.ca/aisles/pantry/pasta-rice-beans/pasta/rigatoni-pasta/p/076808011111,410 g,410.0,g,1.99,$0.49 /100g,0.49,100g,False,sale,1.99,2.79,,,,pantry,pasta,dry_pasta,dry,,100g,0.4853658536585366,,
2026-09-19,pasta,Food Basics Canada,Rotini Pasta,https://www.foodbasics.ca/aisles/pantry/pasta-rice-beans/pasta/rotini-pasta/p/059749893138,900 g,900.0,g,1.97,$0.22 /100g,0.22,100g,False,,,,,,,pantry,pasta,dry_pasta,dry,,100g,0.21888888888888886,,
2026-09-19,pasta,Food Basics Canada,Spaghetti Pasta,https://www.foodbasics.ca/aisles/pantry/pasta-rice-beans/pasta/spaghetti-pasta/p/055900001022,900 g,900.0,g,1.99,$0.22 /100g,0.22,100g,False,sale,1.99,2.49,,,,pantry,pasta,dry_pasta,dry,,100g,0.22111111111111112,,
2026-09-19,pasta,Food Basics Canada,Penne Pasta,https://www.foodbasics.ca/aisles/pantry/pasta-rice-beans/pasta/penne-pasta/p/059749969758,900 g,900.0,g,1.97,$0.22 /100g,0.22,100g,False,,,,,,,pantry,pasta,dry_pasta,dry,,100g,0.21888888888888886,,
2026-09-19,pasta,Food Basics Canada,"Penne Pasta, Garden Select",https://www.foodbasics.ca/aisles/pantry/pasta-rice-beans/pasta/penne-pasta/p/064200130721,340 g,340.0,g,2.99,$0.88 /100g,0.88,100g,False,sale,2.99,3.99,,,,pantry,pasta,dry_pasta,dry,,100g,0.8794117647058823,,
2026-09-19,pasta,Food Basics Canada,Pennine Rigate Pasta,https://www.foodbasics.ca/aisles/pantry/pasta-rice-beans/pasta/pennine-rigate-pasta/p/059749893114,900 g,900.0,g,1.97,$0.22 /100g,0.22,100g,False,,,,,,,pantry,pasta,dry_pasta,dry,,100g,0.21888888888888886,,
2026-09-19,pasta,Food Basics Canada,Large Shell Pasta,https://www.foodbasics.ca/aisles/pantry/canned-jarred/pasta-pasta-sauces/large-shell-pasta/p/055900001268,900 g,900.0,g,1.99,$0.22 /100g,0.22,100g,False,sale,1.99,2.49,,,,pantry,pasta,dry_pasta,dry,,100g,0.22111111111111112,,
2026-09-19,pasta,Food Basics Canada,Fusilli Pasta,https://www.foodbasics.ca/aisles/pantry/pasta-rice-beans/pasta/fusilli-pasta/p/779921000283,450 g,450.0,g,2.49,$0.55 /100g,0.55,100g,False,sale,2.49,2.99,,,,pantry,pasta,dry_pasta,dry,,100g,0.5533333333333333,,
2026-09-19,pasta,Food Basics Canada,"Spaghetti Pasta, Garden Select",https://www.foodbasics.ca/aisles/pantry/pasta-rice-beans/pasta/spaghetti-pasta/p/064200130714,340 g,340.0,g,2.99,$0.88 /100g,0.88,100g,False,sale,2.99,3.99,,,,pantry,pasta,dry_pasta,dry,,100g,0.8794117647058823,,
2026-09-19,bread,Food Basics Canada,White Sliced Bread,https://www.foodbasics.ca/aisles/bread-bakery-products/packaged-bread/white/white-sliced-bread/p/068721002222,675 g,675.0,g,3.69,or $3.69 ea. $0.44 /100g,0.44,100g,False,multi-buy,3.0,,2.0,3.0,3.69,bakery,bread,sliced_bread,sliced_loaf,,100g,0.5466666666666666,,
2026-09-19,bread,Food Basics Canada,"Italian-Style Thick Sliced White Bread, Classico",https://www.foodbasics.ca/aisles/bread-bakery-products/packaged-bread/white/italian-style-thick-sliced-white-bread/p/068721003502,675 g,675.0,g,2.99,$0.44 /100g,0.44,100g,False,sale,2.99,4.19,,,,bakery,bread,sliced_bread,sliced_loaf,,100g,0.44296296296296295,,
2026-09-19,bread,Food Basics Canada,Sliced White Bread,https://www.foodbasics.ca/aisles/bread-bakery-products/packaged-bread/white/sliced-white-bread/p/059749916370,675 g,675.0,g,2.48,$0.37 /100g,0.37,100g,False,,,,,,,bakery,bread,sliced_bread,sliced_loaf,,100g,0.3674074074074074,,
2026-09-19,bread,Food Basics Canada,Sliced Sourdough Bread,https://www.foodbasics.ca/aisles/bread-bakery-products/tortillas-flat-breads/flat-bread-naan/sliced-sourdough-bread/p/029145684623,475 g,475.0,g,2.99,$0.63 /100g,0.63,100g,False,,,,,,,bakery,bread,sliced_bread,sliced_loaf,,100g,0.6294736842105264,,
2026-09-19,bread,Food Basics Canada,Whole Grain 12 Grain Sliced Bread,https://www.foodbasics.ca/aisles/bread-bakery-products/packaged-bread/whole-wheat-grain/whole-grain-12-grain-sliced-bread/p/068721722342,600 g,600.0,g,4.19,$0.70 /100g,0.7,100g,False,,,,,,,bakery,bread,sliced_bread,sliced_loaf,whole_wheat,100g,0.6983333333333334,,
2026-09-19,bread,Food Basics Canada,Whole Wheat Sliced Bread,https://www.foodbasics.ca/aisles/bread-bakery-products/packaged-bread/whole-wheat-grain/whole-wheat-sliced-bread/p/059749916387,675 g,675.0,g,2.48,$0.37 /100g,0.37,100g,False,,,,,,,bakery,bread,sliced_bread,sliced_loaf,whole_wheat,100g,0.3674074074074074,,
2026-09-19,bread,Food Basics Canada,Multigrain Bread,https://www.foodbasics.ca/aisles/bread-bakery-products/tortillas-flat-breads/flat-bread-naan/multigrain-bread/p/029145684616,475 g,475.0,g,2.99,$0.63 /100g,0.63,100g,False,,,,,,,bakery,bread,sliced_bread,sliced_loaf,,100g,0.6294736842105264,,
2026-09-19,bread,Food Basics Canada,Rye Bread,https://www.foodbasics.ca/aisles/bread-bakery-products/packaged-bread/rye-other-grains/rye-bread/p/063004005006,500 g,500.0,g,3.99,$0.80 /100g,0.8,100g,False,,,,,,,bakery,bread,sliced_bread,sliced_loaf,,100g,0.798,,
2026-09-19,bread,Food Basics Canada,"Sliced White Bread, Artesano",https://www.foodbasics.ca/aisles/bread-bakery-products/packaged-bread/white/sliced-white-bread/p/061077302107,600 g,600.0,g,2.99,$0.50 /100g,0.5,100g,False,sale,2.99,4.19,,,,bakery,bread,sliced_bread,sliced_loaf,,100g,0.49833333333333335,,
2026-09-19,bread,Food Basics Canada,Country-Style Bread,https://www.foodbasics.ca/aisles/bread-bakery-products/tortillas-flat-breads/flat-bread-naan/country-style-bread/p/029145684630,475 g,475.0,g,2.99,$0.63 /100g,0.63,100g,False,,,,,,,bakery,bread,sliced_bread,sliced_loaf,,100g,0.6294736842105264,,
2026-09-19,bread,Food Basics Canada,Sliced White Bread,https://www.foodbasics.ca/aisles/bread-bakery-products/packaged-bread/white/sliced-white-bread/p/068721378815,600 g,600.0,g,4.99,$0.83 /100g,0.83,100g,False,,,,,,,bakery,bread,sliced_bread,sliced_loaf,,100g,0.8316666666666667,,
2026-09-19,bread,Food Basics Canada,Frozen Garlic Bread,https://www.foodbasics.ca/aisles/frozen/bakery/bread-baked-goods/frozen-garlic-bread/p/059749896276,330 g,330.0,g,2.99,$0.91 /100g,0.91,100g,False,,,,,,,unknown,unknown,unsupported,unknown,,100g,0.906060606060606,,
2026-09-19,cheese,Food Basics Canada,Marble Cheddar Cheese,https://www.foodbasics.ca/aisles/dairy-eggs/packaged-cheese/cheese-blocks/marble-cheddar-cheese/p/068200885117,400 g,400.0,g,7.99,$2.00 /100g,2.0,100g,False,,,,,,,dairy,cheese,cheddar_cheese,unspecified,,100g,1.9975,,
2026-09-19,cheese,Food Basics Canada,Mild Marbled Cheddar Cheese,https://www.foodbasics.ca/aisles/dairy-eggs/packaged-cheese/cheese-blocks/mild-marbled-cheddar-cheese/p/059749969437,400 g,400.0,g,4.88,$1.22 /100g,1.22,100g,False,sale,4.88,5.99,,,,dairy,cheese,cheddar_cheese,unspecified,,100g,1.22,,
2026-09-19,cheese,Food Basics Canada,Mozzarella Cheese,https://www.foodbasics.ca/aisles/dairy-eggs/packaged-cheese/cheese-blocks/mozzarella-cheese/p/068200885179,400 g,400.0,g,7.99,$2.00 /100g,2.0,100g,False,,,,,,,dairy,cheese,mozzarella_cheese,unspecified,,100g,1.9975,,
2026-09-19,cheese,Food Basics Canada,Old Cheddar Cheese,https://www.foodbasics.ca/aisles/dairy-eggs/packaged-cheese/cheese-blocks/old-cheddar-cheese/p/059749969468,400 g,400.0,g,4.88,$1.22 /100g,1.22,100g,False,sale,4.88,5.99,,,,dairy,cheese,cheddar_cheese,unspecified,,100g,1.22,,
2026-09-19,cheese,Food Basics Canada,Pizza Mozzarella Cheese,https://www.foodbasics.ca/aisles/dairy-eggs/packaged-cheese/cheese-blocks/pizza-mozzarella-cheese/p/059749969444,400 g,400.0,g,4.88,$1.22 /100g,1.22,100g,False,sale,4.88,5.99,,,,dairy,cheese,mozzarella_cheese,unspecified,,100g,1.22,,
2026-09-19,cheese,Food Basics Canada,Old Orange Cheddar Cheese,https://www.foodbasics.ca/aisles/dairy-eggs/packaged-cheese/cheese-blocks/old-orange-cheddar-cheese/p/068200885513,400 g,400.0,g,7.99,$2.00 /100g,2.0,100g,False,,,,,,,dairy,cheese,cheddar_cheese,unspecified,,100g,1.9975,,
2026-09-19,cheese,Food Basics Canada,Shredded Double Cheddar Cheese Blend,https://www.foodbasics.ca/aisles/dairy-eggs/packaged-cheese/shredded-cheese/shredded-double-cheddar-cheese-blend/p/059749949378,320 g,320.0,g,4.88,$1.53 /100g,1.53,100g,False,sale,4.88,5.79,,,,dairy,cheese,cheddar_cheese,shredded,,100g,1.525,,
2026-09-19,cheese,Food Basics Canada,Swiss Cheese,https://www.foodbasics.ca/aisles/dairy-eggs/packaged-cheese/cheese-blocks/swiss-cheese/p/059749962421,400 g,400.0,g,4.88,$1.22 /100g,1.22,100g,False,sale,4.88,5.99,,,,dairy,cheese,swiss_cheese,unspecified,,100g,1.22,,
2026-09-19,cheese,Food Basics Canada,Cheese Spread,https://www.foodbasics.ca/aisles/pantry/cereals-spreads-syrups/cheese-savoury-spreads/cheese-spread/p/068100892314,450 g,450.0,g,3.99,$0.89 /100g,0.89,100g,False,sale,3.99,6.49,,,,dairy,cheese,cheese_unspecified_type,spread,,100g,0.8866666666666667,,
2026-09-19,cheese,Food Basics Canada,"1% Cottage Cheese, Nordica",https://www.foodbasics.ca/aisles/dairy-eggs/packaged-cheese/cottage-cheese-ricotta/1-cottage-cheese/p/066013153669,500 g,500.0,g,5.49,$1.10 /100g,1.1,100g,False,,,,,,,dairy,cheese,cottage_cheese,unspecified,,100g,1.098,,
